feature_set,model,segment,segment_value,rows,mae,rmse,mean_error,target_mean,prediction_mean
pre_lineup_compact_40,hist_gradient_boosting,starter_label,Bench,13932,6.925161374287901,8.714157562823518,-1.0769487196358358,13.49198966408269,14.568938383718523
pre_lineup_compact_40,hist_gradient_boosting,starter_label,Starter,12230,8.760730374990192,11.190093622286911,1.3044390761312143,31.098413736713,29.793974660581785
pre_lineup_compact_40,ridge,starter_label,Bench,13932,7.008915067449187,8.82071249521874,-1.285744757465873,13.49198966408269,14.777734421548562
pre_lineup_compact_40,ridge,starter_label,Starter,12230,8.70497106183143,11.107418754136718,1.1441802662250435,31.098413736713,29.954233470487956
pre_lineup_compact_40_plus_all_candidates,hist_gradient_boosting,starter_label,Bench,13932,6.926196244740297,8.704788432521365,-1.0687218211892755,13.49198966408269,14.560711485271963
pre_lineup_compact_40_plus_all_candidates,hist_gradient_boosting,starter_label,Starter,12230,8.741136525429129,11.162273144199007,1.3277486171178914,31.098413736713,29.770665119595115
pre_lineup_compact_40_plus_all_candidates,ridge,starter_label,Bench,13932,6.986755328911771,8.79807011272677,-1.1882731451701787,13.49198966408269,14.680262809252865
pre_lineup_compact_40_plus_all_candidates,ridge,starter_label,Starter,12230,8.705345855014757,11.107697552288329,1.1322003088502366,31.098413736713,29.966213427862762
pre_lineup_compact_40_plus_ceiling,hist_gradient_boosting,starter_label,Bench,13932,6.924867697762035,8.709236101194849,-1.0685491200427586,13.49198966408269,14.560538784125445
pre_lineup_compact_40_plus_ceiling,hist_gradient_boosting,starter_label,Starter,12230,8.737233820567317,11.160668176398481,1.320271294927597,31.098413736713,29.778142441785405
pre_lineup_compact_40_plus_ceiling,ridge,starter_label,Bench,13932,7.013054620283177,8.821253871477738,-1.2872401476068687,13.49198966408269,14.779229811689557
pre_lineup_compact_40_plus_ceiling,ridge,starter_label,Starter,12230,8.706864360769327,11.108307041124132,1.1323555032977257,31.098413736713,29.966058233415275
pre_lineup_compact_40_plus_matchup,hist_gradient_boosting,starter_label,Bench,13932,6.930054313629207,8.71011639110362,-1.0892630783545965,13.49198966408269,14.581252742437284
pre_lineup_compact_40_plus_matchup,hist_gradient_boosting,starter_label,Starter,12230,8.747156870487641,11.179806042731004,1.3014184999106928,31.098413736713,29.796995236802307
pre_lineup_compact_40_plus_matchup,ridge,starter_label,Bench,13932,7.004600818785398,8.816328616001968,-1.2608904054413264,13.49198966408269,14.752880069524013
pre_lineup_compact_40_plus_matchup,ridge,starter_label,Starter,12230,8.707093937945126,11.11094214455287,1.1760922575874637,31.098413736713,29.922321479125536
pre_lineup_compact_40_plus_role,hist_gradient_boosting,starter_label,Bench,13932,6.9214933938321455,8.707374378807799,-1.059886397149467,13.49198966408269,14.551876061232154
pre_lineup_compact_40_plus_role,hist_gradient_boosting,starter_label,Starter,12230,8.741745453412667,11.169799799180055,1.2991062649650527,31.098413736713,29.799307471747948
pre_lineup_compact_40_plus_role,ridge,starter_label,Bench,13932,6.992901154439575,8.805941509907592,-1.2167205617851486,13.49198966408269,14.708710225867838
pre_lineup_compact_40_plus_role,ridge,starter_label,Starter,12230,8.70051896140509,11.101766573253153,1.0968315308216732,31.098413736713,30.001582205891328
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,starter_label,Bench,13932,6.925282885072935,8.71537544187092,-1.0697952494932685,13.49198966408269,14.561784913575954
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,starter_label,Starter,12230,8.757449555485609,11.187530286825329,1.3168698557334773,31.098413736713,29.78154388097952
pre_lineup_compact_40_plus_scoring,ridge,starter_label,Bench,13932,7.005812922354221,8.818518431306769,-1.2846763227177016,13.49198966408269,14.77666598680039
pre_lineup_compact_40_plus_scoring,ridge,starter_label,Starter,12230,8.704803483232062,11.10708246314045,1.147594827739411,31.098413736713,29.95081890897359
pre_lineup_player_team_opp,hist_gradient_boosting,starter_label,Bench,13932,6.847655108271443,8.648232303687468,-0.841980219313509,13.49198966408269,14.333969883396197
pre_lineup_player_team_opp,hist_gradient_boosting,starter_label,Starter,12230,8.738364799556829,11.157576546710642,1.3082370041104463,31.098413736713,29.790176732602553
pre_lineup_player_team_opp,ridge,starter_label,Bench,13932,6.912438611360418,8.734857891933851,-0.9569933249569336,13.49198966408269,14.44898298903962
pre_lineup_player_team_opp,ridge,starter_label,Starter,12230,8.699124920368956,11.102456812636,1.0497828793924837,31.098413736713,30.048630857320518
pre_lineup_compact_40,hist_gradient_boosting,primary_position,Center,5133,8.274734578366225,10.599861067378363,0.1455226508690927,24.577459575297098,24.431936924428005
pre_lineup_compact_40,hist_gradient_boosting,primary_position,Forward,10282,7.470847093406006,9.544361789060877,-0.049536116903418456,20.26333398171562,20.312870098619037
pre_lineup_compact_40,hist_gradient_boosting,primary_position,Guard,10747,7.847363761752551,10.00604872072534,0.06621409939594113,21.75493626128222,21.68872216188628
pre_lineup_compact_40,ridge,primary_position,Center,5133,8.313038764934163,10.582463455063984,-0.24644880412537015,24.577459575297098,24.823908379422466
pre_lineup_compact_40,ridge,primary_position,Forward,10282,7.49447686354401,9.558950703316265,-0.19737981360138682,20.26333398171562,20.460713795317005
pre_lineup_compact_40,ridge,primary_position,Guard,10747,7.851582926819938,10.017720292446386,-0.05817347632430193,21.75493626128222,21.813109737606517
pre_lineup_compact_40_plus_all_candidates,hist_gradient_boosting,primary_position,Center,5133,8.255208588920778,10.567834715455636,0.2049426803833335,24.577459575297098,24.372516894913765
pre_lineup_compact_40_plus_all_candidates,hist_gradient_boosting,primary_position,Forward,10282,7.473518902108883,9.535716002212068,-0.06925281167739883,20.26333398171562,20.33258679339302
pre_lineup_compact_40_plus_all_candidates,hist_gradient_boosting,primary_position,Guard,10747,7.833177514590694,9.9841572439613,0.0938885089608439,21.75493626128222,21.661047752321373
