feature_set,model,segment,segment_value,rows,mae,rmse,mean_error,target_mean,prediction_mean
pre_lineup_compact_40_plus_role,ridge,fp_bucket,40-50,2034,10.463645553074791,12.906689557990788,9.21847870400138,44.51612586037364,35.29764715637227
pre_lineup_compact_40_plus_all_candidates,ridge,fp_bucket,40-50,2034,10.489009482406127,12.931862344410375,9.253869299218744,44.51612586037364,35.2622565611549
pre_lineup_compact_40_plus_ceiling,ridge,fp_bucket,40-50,2034,10.49336586939058,12.925273278843978,9.271615819083765,44.51612586037364,35.244510041289885
pre_lineup_compact_40_plus_scoring,ridge,fp_bucket,40-50,2034,10.495083059607467,12.92436515133551,9.274001950242432,44.51612586037364,35.24212391013122
pre_lineup_compact_40,ridge,fp_bucket,40-50,2034,10.495213584700103,12.925300131166326,9.272129497109313,44.51612586037364,35.24399636326434
pre_lineup_player_team_opp,ridge,fp_bucket,40-50,2034,10.50957540574764,12.939612501122488,9.226574483255105,44.51612586037364,35.28955137711854
pre_lineup_compact_40_plus_matchup,ridge,fp_bucket,40-50,2034,10.514619390910095,12.94404451700946,9.292764467876793,44.51612586037364,35.223361392496855
pre_lineup_compact_40_plus_ceiling,hist_gradient_boosting,fp_bucket,40-50,2034,10.557945681651177,13.046579229146179,9.417549516626952,44.51612586037364,35.09857634374669
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,fp_bucket,40-50,2034,10.5734167747049,13.053106493388642,9.420146733238807,44.51612586037364,35.09597912713484
pre_lineup_compact_40_plus_role,hist_gradient_boosting,fp_bucket,40-50,2034,10.57548881860243,13.049247812613002,9.413567258609413,44.51612586037364,35.10255860176423
pre_lineup_compact_40_plus_matchup,hist_gradient_boosting,fp_bucket,40-50,2034,10.585109209287868,13.068300077602416,9.376605088028985,44.51612586037364,35.13952077234467
pre_lineup_compact_40,hist_gradient_boosting,fp_bucket,40-50,2034,10.591078044832637,13.060051520921967,9.393929800460125,44.51612586037364,35.12219605991352
pre_lineup_compact_40_plus_all_candidates,hist_gradient_boosting,fp_bucket,40-50,2034,10.59505284277591,13.068532627627572,9.409290142781362,44.51612586037364,35.10683571759228
pre_lineup_player_team_opp,hist_gradient_boosting,fp_bucket,40-50,2034,10.6362157867578,13.08477080762814,9.37076157283545,44.51612586037364,35.14536428753819
pre_lineup_compact_40_plus_role,ridge,fp_bucket,50+,1165,16.390222009503557,18.9316389866196,16.173669280686354,57.906523605150205,41.73285432446386
pre_lineup_player_team_opp,ridge,fp_bucket,50+,1165,16.394981801866493,18.93436389225811,16.195429857527103,57.906523605150205,41.71109374762311
pre_lineup_compact_40_plus_all_candidates,ridge,fp_bucket,50+,1165,16.427584405163017,18.971773012759613,16.210935705287685,57.906523605150205,41.69558789986253
pre_lineup_compact_40_plus_ceiling,ridge,fp_bucket,50+,1165,16.47739243639059,19.00566409391622,16.260940717179306,57.906523605150205,41.6455828879709
pre_lineup_compact_40,ridge,fp_bucket,50+,1165,16.480568637727778,19.007376790080052,16.263961741318987,57.906523605150205,41.64256186383123
pre_lineup_compact_40_plus_scoring,ridge,fp_bucket,50+,1165,16.48163945035478,19.00752671640807,16.265622027764955,57.906523605150205,41.64090157738525
pre_lineup_compact_40_plus_matchup,ridge,fp_bucket,50+,1165,16.50597298226776,19.036164243432843,16.288130399424578,57.906523605150205,41.61839320572563
pre_lineup_compact_40_plus_matchup,hist_gradient_boosting,fp_bucket,50+,1165,16.624855530885217,19.202614356725544,16.419307690142602,57.906523605150205,41.48721591500761
pre_lineup_compact_40_plus_all_candidates,hist_gradient_boosting,fp_bucket,50+,1165,16.659913504039423,19.205399016631283,16.475601008656504,57.906523605150205,41.430922596493716
pre_lineup_compact_40_plus_role,hist_gradient_boosting,fp_bucket,50+,1165,16.662648357101123,19.20562334910773,16.475793579454763,57.906523605150205,41.430730025695446
pre_lineup_player_team_opp,hist_gradient_boosting,fp_bucket,50+,1165,16.671222659599525,19.20484842733659,16.45579159517208,57.906523605150205,41.45073200997813
pre_lineup_compact_40,hist_gradient_boosting,fp_bucket,50+,1165,16.67302975543705,19.237685479717456,16.490110257469894,57.906523605150205,41.41641334768032
pre_lineup_compact_40_plus_ceiling,hist_gradient_boosting,fp_bucket,50+,1165,16.709016867753235,19.23510730919353,16.568319719558275,57.906523605150205,41.33820388559194
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,fp_bucket,50+,1165,16.713693174834027,19.25148463485351,16.555559782960668,57.906523605150205,41.35096382218955
pre_lineup_player_team_opp,ridge,minutes_bucket,35+,3444,9.84330335378625,12.67630228047964,6.295035708853798,40.92331591173055,34.62828020287675
pre_lineup_compact_40_plus_role,ridge,minutes_bucket,35+,3444,9.845022728335492,12.684107470501562,6.267957085682449,40.92331591173055,34.655358826048094
pre_lineup_compact_40_plus_all_candidates,ridge,minutes_bucket,35+,3444,9.860668980386853,12.705679492244906,6.316666170465703,40.92331591173055,34.606649741264846
pre_lineup_compact_40_plus_ceiling,ridge,minutes_bucket,35+,3444,9.864654357439049,12.707040183490996,6.318764855111068,40.92331591173055,34.60455105661948
pre_lineup_compact_40_plus_scoring,ridge,minutes_bucket,35+,3444,9.86561683836908,12.707314634488464,6.327447984879148,40.92331591173055,34.5958679268514
pre_lineup_compact_40,ridge,minutes_bucket,35+,3444,9.866664555249555,12.70850558883559,6.325047854303582,40.92331591173055,34.59826805742697
pre_lineup_compact_40_plus_matchup,ridge,minutes_bucket,35+,3444,9.879347174741728,12.72662900556806,6.35958768807298,40.92331591173055,34.56372822365756
pre_lineup_compact_40_plus_role,hist_gradient_boosting,minutes_bucket,35+,3444,9.958546921675387,12.82899725910398,6.522442235507757,40.92331591173055,34.40087367622279
pre_lineup_compact_40_plus_matchup,hist_gradient_boosting,minutes_bucket,35+,3444,9.966508162323132,12.836877627089699,6.507894570783277,40.92331591173055,34.41542134094727
pre_lineup_compact_40_plus_ceiling,hist_gradient_boosting,minutes_bucket,35+,3444,9.970471515555452,12.843773421895072,6.5515030048743235,40.92331591173055,34.37181290685622
pre_lineup_compact_40_plus_all_candidates,hist_gradient_boosting,minutes_bucket,35+,3444,9.978811278422622,12.83803157863378,6.531389675350167,40.92331591173055,34.39192623638038
pre_lineup_compact_40,hist_gradient_boosting,minutes_bucket,35+,3444,9.993110124651029,12.863998605359791,6.554026904666863,40.92331591173055,34.369289007063685
pre_lineup_player_team_opp,hist_gradient_boosting,minutes_bucket,35+,3444,10.003414462799853,12.849600729632607,6.506145405568475,40.92331591173055,34.41717050616207
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,minutes_bucket,35+,3444,10.008259559866486,12.882443635664814,6.591581196948631,40.92331591173055,34.331734714781916
pre_lineup_player_team_opp,ridge,starter_label,Starter,12230,8.699124920368956,11.102456812636,1.0497828793924837,31.098413736713,30.048630857320518
pre_lineup_compact_40_plus_role,ridge,starter_label,Starter,12230,8.70051896140509,11.101766573253153,1.0968315308216732,31.098413736713,30.001582205891328
pre_lineup_compact_40_plus_scoring,ridge,starter_label,Starter,12230,8.704803483232062,11.10708246314045,1.147594827739411,31.098413736713,29.95081890897359
pre_lineup_compact_40,ridge,starter_label,Starter,12230,8.70497106183143,11.107418754136718,1.1441802662250435,31.098413736713,29.954233470487956
pre_lineup_compact_40_plus_all_candidates,ridge,starter_label,Starter,12230,8.705345855014757,11.107697552288329,1.1322003088502366,31.098413736713,29.966213427862762
pre_lineup_compact_40_plus_ceiling,ridge,starter_label,Starter,12230,8.706864360769327,11.108307041124132,1.1323555032977257,31.098413736713,29.966058233415275
pre_lineup_compact_40_plus_matchup,ridge,starter_label,Starter,12230,8.707093937945126,11.11094214455287,1.1760922575874637,31.098413736713,29.922321479125536
pre_lineup_compact_40_plus_ceiling,hist_gradient_boosting,starter_label,Starter,12230,8.737233820567317,11.160668176398481,1.320271294927597,31.098413736713,29.778142441785405
pre_lineup_player_team_opp,hist_gradient_boosting,starter_label,Starter,12230,8.738364799556829,11.157576546710642,1.3082370041104463,31.098413736713,29.790176732602553
pre_lineup_compact_40_plus_all_candidates,hist_gradient_boosting,starter_label,Starter,12230,8.741136525429129,11.162273144199007,1.3277486171178914,31.098413736713,29.770665119595115
pre_lineup_compact_40_plus_role,hist_gradient_boosting,starter_label,Starter,12230,8.741745453412667,11.169799799180055,1.2991062649650527,31.098413736713,29.799307471747948
