feature_set,position,feature,feature_group,is_added_candidate
pre_lineup_compact_40,1,home,compact_40_base,False
pre_lineup_compact_40,2,guard,compact_40_base,False
pre_lineup_compact_40,3,forward,compact_40_base,False
pre_lineup_compact_40,4,center,compact_40_base,False
pre_lineup_compact_40,5,years_since_draft,compact_40_base,False
pre_lineup_compact_40,6,days_since_last_game,compact_40_base,False
pre_lineup_compact_40,7,is_back_to_back,compact_40_base,False
pre_lineup_compact_40,8,fantasy_points_roll_5,compact_40_base,False
pre_lineup_compact_40,9,fantasy_points_roll_10,compact_40_base,False
pre_lineup_compact_40,10,fantasy_points_roll_30,compact_40_base,False
pre_lineup_compact_40,11,fantasy_points_momentum_5_vs_10,compact_40_base,False
pre_lineup_compact_40,12,fantasy_points_momentum_10_vs_30,compact_40_base,False
pre_lineup_compact_40,13,numMinutes_roll_5,compact_40_base,False
pre_lineup_compact_40,14,numMinutes_roll_10,compact_40_base,False
pre_lineup_compact_40,15,numMinutes_roll_30,compact_40_base,False
pre_lineup_compact_40,16,current_is_starter_roll_10,compact_40_base,False
pre_lineup_compact_40,17,starter_minutes_roll_5,compact_40_base,False
pre_lineup_compact_40,18,starter_minutes_roll_10,compact_40_base,False
pre_lineup_compact_40,19,starter_minutes_roll_30,compact_40_base,False
pre_lineup_compact_40,20,starter_minutes_share_roll_10,compact_40_base,False
pre_lineup_compact_40,21,usagePercentage_roll_5,compact_40_base,False
pre_lineup_compact_40,22,usagePercentage_roll_10,compact_40_base,False
pre_lineup_compact_40,23,usagePercentage_roll_30,compact_40_base,False
pre_lineup_compact_40,24,usagePercentage_momentum_5_vs_10,compact_40_base,False
pre_lineup_compact_40,25,trueShootingPercentage_roll_10,compact_40_base,False
pre_lineup_compact_40,26,playerImpactEstimate_roll_10,compact_40_base,False
pre_lineup_compact_40,27,points_roll_10,compact_40_base,False
pre_lineup_compact_40,28,reboundsTotal_roll_10,compact_40_base,False
pre_lineup_compact_40,29,assists_roll_10,compact_40_base,False
pre_lineup_compact_40,30,turnovers_roll_10,compact_40_base,False
pre_lineup_compact_40,31,team_pace_roll_10,compact_40_base,False
pre_lineup_compact_40,32,team_offensiveRating_roll_10,compact_40_base,False
pre_lineup_compact_40,33,team_assists_roll_10,compact_40_base,False
pre_lineup_compact_40,34,team_turnovers_roll_10,compact_40_base,False
pre_lineup_compact_40,35,opp_pace_roll_10,compact_40_base,False
pre_lineup_compact_40,36,opp_defensiveRating_roll_10,compact_40_base,False
