feature_set,model,n_features,train_rows,validation_rows,fit_predict_seconds,mae,rmse,r2,mean_error,median_absolute_error
pre_lineup_player_team_opp,hist_gradient_boosting,486,76937,26162,49.287,7.731508771004425,9.90076184766369,0.5591423689619857,0.16318592404231144,6.3361685195703075
pre_lineup_player_team_opp,ridge,486,76937,26162,24.775,7.747664265330848,9.91228551756075,0.5581155279140666,-0.018881828160305907,6.387146606912637
pre_lineup_compact_40_plus_ceiling,hist_gradient_boosting,45,76937,26162,3.259,7.772097943229071,9.930821689227153,0.5564613170986308,0.04815731199941898,6.411085450387812
pre_lineup_compact_40_plus_role,hist_gradient_boosting,45,76937,26162,3.294,7.7724100931926605,9.934750930287477,0.5561102655476953,0.04287639841893656,6.418030401059156
pre_lineup_compact_40_plus_all_candidates,hist_gradient_boosting,60,76937,26162,3.881,7.774629836699032,9.929588236936755,0.5565714892165684,0.05156078184171033,6.42054039741088
pre_lineup_compact_40_plus_matchup,hist_gradient_boosting,45,76937,26162,3.012,7.779498708949849,9.941290278530136,0.5555257104011592,0.028313395240101444,6.415521529418198
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,45,76937,26162,3.565,7.781769330266231,9.947804761804573,0.5549429954908913,0.0459036357954364,6.415698066076466
pre_lineup_compact_40,hist_gradient_boosting,40,76937,26162,3.263,7.783238313305904,9.948584341220883,0.554873237210928,0.03628317174215598,6.432806886551582
pre_lineup_compact_40_plus_all_candidates,ridge,60,76937,26162,0.944,7.790148117469203,9.94474812145606,0.5552164568684634,-0.1035169972201107,6.426625993957407
pre_lineup_compact_40_plus_role,ridge,45,76937,26162,0.653,7.791164505069811,9.94536220731059,0.5551615246144037,-0.13519995584594555,6.4363511304274414
pre_lineup_compact_40_plus_scoring,ridge,45,76937,26162,0.688,7.800043277813897,9.954067511352719,0.5543824380609528,-0.1476578925483535,6.4597815223117125
pre_lineup_compact_40_plus_matchup,ridge,45,76937,26162,0.641,7.800468521840344,9.955048124958806,0.5542946347246631,-0.12166947551081257,6.436462331801722
pre_lineup_compact_40,ridge,40,76937,26162,0.567,7.801773595516416,9.955278096362422,0.5542740420221297,-0.14982307564720804,6.454570741092796
pre_lineup_compact_40_plus_ceiling,ridge,45,76937,26162,0.655,7.804863087760649,9.955996845285219,0.5542096788543951,-0.15614715737052634,6.474772540090402
