feature_a,feature_b,correlation,abs_correlation
opp_pos_starter_count_roll_5,opp_pos_starter_count_roll_10,1.0,1.0
opp_pos_starter_count_roll_10,opp_pos_starter_count_roll_30,1.0,1.0
opp_pos_starter_count_roll_5,opp_pos_starter_count_roll_30,1.0,1.0
current_is_starter_roll_5,starter_minutes_share_roll_5,0.99439592793541,0.99439592793541
current_is_starter_roll_10,starter_minutes_share_roll_10,0.9937408482131204,0.9937408482131204
current_is_starter_roll_30,starter_minutes_share_roll_30,0.9925149514615078,0.9925149514615078
starter_minutes_roll_30,current_is_starter_roll_30,0.9875196572851638,0.9875196572851638
current_is_starter_z_10_vs_30,starter_minutes_z_10_vs_30,0.9854423812576206,0.9854423812576206
opp_pos_minutes_allowed_roll_30,opp_pos_minutes_allowed_roll_10,0.9848862338759288,0.9848862338759288
starter_minutes_roll_10,current_is_starter_roll_10,0.9842650106293747,0.9842650106293747
current_is_starter_z_5_vs_30,starter_minutes_z_5_vs_30,0.9826410548490772,0.9826410548490772
opp_pos_minutes_allowed_roll_30,opp_pos_player_count_roll_30,0.9824786223696189,0.9824786223696189
starter_minutes_roll_5,starter_minutes_roll_3,0.9814269694320654,0.9814269694320654
starter_minutes_roll_5,current_is_starter_roll_5,0.9809300586487721,0.9809300586487721
current_is_starter_z_10_vs_30,current_is_starter_momentum_10_vs_30,0.9802627327786435,0.9802627327786435
freeThrowsPercentage_momentum_10_vs_30,freeThrowsPercentage_z_10_vs_30,0.9793303522794945,0.9793303522794945
opp_pos_minutes_allowed_roll_10,opp_pos_minutes_allowed_roll_5,0.979039002841368,0.979039002841368
trueShootingPercentage_std_30,effectiveFieldGoalPercentage_std_30,0.9766561329971103,0.9766561329971103
starter_minutes_roll_30,starter_minutes_share_roll_30,0.9764270748455514,0.9764270748455514
fantasy_points_momentum_10_vs_30,fantasy_points_z_10_vs_30,0.976293511832487,0.976293511832487
starter_minutes_roll_10,starter_minutes_share_roll_10,0.9761053936319068,0.9761053936319068
starter_minutes_share_roll_3,starter_minutes_share_roll_5,0.9755902731803187,0.9755902731803187
starter_minutes_roll_5,starter_minutes_share_roll_5,0.9744052570751535,0.9744052570751535
current_is_starter_roll_5,starter_minutes_share_roll_3,0.9737939517898377,0.9737939517898377
starter_minutes_roll_3,starter_minutes_share_roll_3,0.9724142714742378,0.9724142714742378
starter_minutes_roll_5,starter_minutes_roll_10,0.9719375056730115,0.9719375056730115
numMinutes_roll_5,numMinutes_roll_3,0.9706755222532436,0.9706755222532436
current_is_starter_roll_10,current_is_starter_roll_5,0.9694675981447509,0.9694675981447509
opp_pos_minutes_allowed_roll_10,opp_pos_player_count_roll_30,0.9676921710957084,0.9676921710957084
opp_pos_player_count_roll_30,opp_pos_player_count_roll_10,0.9661891229333559,0.9661891229333559
starter_minutes_momentum_10_vs_30,current_is_starter_momentum_10_vs_30,0.9659928537683184,0.9659928537683184
numMinutes_roll_10,numMinutes_roll_5,0.96551062007387,0.96551062007387
opp_pos_minutes_allowed_roll_10,opp_pos_player_count_roll_10,0.9644194425646022,0.9644194425646022
opp_pos_minutes_allowed_roll_30,opp_pos_minutes_allowed_roll_5,0.9641522083658137,0.9641522083658137
fantasy_points_roll_10,fantasy_points_roll_5,0.9639982531753961,0.9639982531753961
current_is_starter_roll_5,starter_minutes_share_roll_10,0.9637807616730074,0.9637807616730074
trueShootingPercentage_roll_30,effectiveFieldGoalPercentage_roll_30,0.9631460530528048,0.9631460530528048
points_roll_10,points_roll_5,0.9628243130271132,0.9628243130271132
starter_minutes_share_roll_5,starter_minutes_share_roll_10,0.9627745895513233,0.9627745895513233
starter_minutes,current_is_starter,0.9627733151901116,0.9627733151901116
fantasy_points_roll_5,fantasy_points_roll_3,0.9622284539589279,0.9622284539589279
assists_roll_10,assists_roll_5,0.9618527939589284,0.9618527939589284
points_roll_10,points_roll_30,0.9616976563605572,0.9616976563605572
starter_minutes_roll_3,current_is_starter_roll_5,0.961459770782357,0.961459770782357
assists_roll_10,assists_roll_30,0.9610497641332901,0.9610497641332901
points_z_10_vs_30,points_momentum_10_vs_30,0.960541627845344,0.960541627845344
current_is_starter_roll_10,starter_minutes_share_roll_5,0.9604981962220888,0.9604981962220888
numMinutes_z_10_vs_30,numMinutes_momentum_10_vs_30,0.9604545743451399,0.9604545743451399
trueShootingPercentage_roll_10,effectiveFieldGoalPercentage_roll_10,0.960096428285519,0.960096428285519
fantasy_points_roll_10,fantasy_points_roll_30,0.959940906139447,0.959940906139447
bench_minutes_roll_5,bench_minutes_roll_10,0.957961951272614,0.957961951272614
opp_pos_player_count_roll_10,opp_pos_player_count_roll_5,0.9574164311129686,0.9574164311129686
current_is_starter_z_10_vs_30,starter_minutes_momentum_10_vs_30,0.9574022817180912,0.9574022817180912
trueShootingPercentage_roll_5,effectiveFieldGoalPercentage_roll_5,0.9569322849524081,0.9569322849524081
starter_minutes_roll_5,starter_minutes_share_roll_3,0.9556107841009497,0.9556107841009497
starter_minutes_roll_10,current_is_starter_roll_5,0.9555753676225394,0.9555753676225394
starter_minutes_roll_3,starter_minutes_share_roll_5,0.955252814708954,0.955252814708954
starter_minutes_roll_5,current_is_starter_roll_10,0.9550860927693833,0.9550860927693833
reboundsTotal_roll_10,reboundsTotal_roll_5,0.9535533077098253,0.9535533077098253
reboundsTotal_roll_30,reboundsTotal_roll_10,0.9520791994068443,0.9520791994068443
