feature,decision,reason,correlation_with_target,missing_pct
gameId,drop,"identifier, label, date, or target column; not a numeric model feature",,
personId,drop,"identifier, label, date, or target column; not a numeric model feature",,
game_date,drop,"identifier, label, date, or target column; not a numeric model feature",,
season_start,drop,"identifier, label, date, or target column; not a numeric model feature",,
firstName,drop,"identifier, label, date, or target column; not a numeric model feature",,
lastName,drop,"identifier, label, date, or target column; not a numeric model feature",,
player_name,drop,"identifier, label, date, or target column; not a numeric model feature",,
playerteamId,drop,"identifier, label, date, or target column; not a numeric model feature",,
playerteamCity,drop,"identifier, label, date, or target column; not a numeric model feature",,
playerteamName,drop,"identifier, label, date, or target column; not a numeric model feature",,
opponentteamId,drop,"identifier, label, date, or target column; not a numeric model feature",,
opponentteamCity,drop,"identifier, label, date, or target column; not a numeric model feature",,
opponentteamName,drop,"identifier, label, date, or target column; not a numeric model feature",,
home,eligible,eligible for at least one first-pass feature set,0.0087224445027819,0.0
current_is_starter,eligible,eligible for at least one first-pass feature set,0.4919698424552405,0.0
starter_minutes,drop,same-game role-minute diagnostic column; use shifted rolling versions for pre-game models,0.5693351888124621,0.0
bench_minutes,drop,same-game role-minute diagnostic column; use shifted rolling versions for pre-game models,0.0020466795852081,0.0
startingPosition,drop,"identifier, label, date, or target column; not a numeric model feature",,
heightInches,eligible,eligible for at least one first-pass feature set,0.0745484257699583,0.0
bodyWeightLbs,eligible,eligible for at least one first-pass feature set,0.0960835902516387,0.0017418111753371
guard,eligible,eligible for at least one first-pass feature set,0.0078089753940917,0.0
forward,eligible,eligible for at least one first-pass feature set,-0.0333823268434404,0.0
center,eligible,eligible for at least one first-pass feature set,0.0863600442907066,0.0
primary_position_group,drop,"identifier, label, date, or target column; not a numeric model feature",,
years_since_draft,eligible,eligible for at least one first-pass feature set,-0.2152732843530899,0.0
fantasy_points,drop,"identifier, label, date, or target column; not a numeric model feature",,
days_since_last_game,eligible,eligible for at least one first-pass feature set,-0.0586516125803066,0.0079306358381502
is_back_to_back,eligible,eligible for at least one first-pass feature set,0.0582919317467729,0.0
fantasy_points_roll_3,eligible,eligible for at least one first-pass feature set,0.7022775055747135,0.0079306358381502
fantasy_points_roll_5,eligible,eligible for at least one first-pass feature set,0.7197231667250609,0.0079306358381502
fantasy_points_roll_10,eligible,eligible for at least one first-pass feature set,0.7297709085477713,0.0079306358381502
fantasy_points_roll_30,eligible,eligible for at least one first-pass feature set,0.7250856596362891,0.0079306358381502
fantasy_points_std_30,eligible,eligible for at least one first-pass feature set,0.420504530262998,0.0156685934489402
fantasy_points_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.0570001541875318,0.0079306358381502
fantasy_points_momentum_3_vs_10,eligible,eligible for at least one first-pass feature set,0.063899362098689,0.0079306358381502
fantasy_points_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.106023744534396,0.0079306358381502
fantasy_points_z_5_vs_30,eligible,eligible for at least one first-pass feature set,0.1077222943680245,0.0160231213872832
fantasy_points_z_10_vs_30,eligible,eligible for at least one first-pass feature set,0.1055613208436239,0.0160231213872832
current_is_starter_roll_5,eligible,eligible for at least one first-pass feature set,0.468662477916352,0.0079306358381502
current_is_starter_roll_10,eligible,eligible for at least one first-pass feature set,0.4688778416337299,0.0079306358381502
current_is_starter_roll_30,eligible,eligible for at least one first-pass feature set,0.459723986100664,0.0079306358381502
current_is_starter_std_30,drop,binary starter z/std feature is unstable and has high missingness,-0.0879663232390047,0.0156685934489402
current_is_starter_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.0606876931767624,0.0079306358381502
current_is_starter_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.106357533751807,0.0079306358381502
current_is_starter_z_5_vs_30,drop,binary starter z/std feature is unstable and has high missingness,0.2054379616785097,0.5542196531791908
current_is_starter_z_10_vs_30,drop,binary starter z/std feature is unstable and has high missingness,0.2046665774718614,0.5542196531791908
starter_minutes_roll_3,eligible,eligible for at least one first-pass feature set,0.5024994226411535,0.0079306358381502
starter_minutes_roll_5,eligible,eligible for at least one first-pass feature set,0.5041940327881376,0.0079306358381502
starter_minutes_roll_10,eligible,eligible for at least one first-pass feature set,0.5036042124188822,0.0079306358381502
starter_minutes_roll_30,eligible,eligible for at least one first-pass feature set,0.4920002602135097,0.0079306358381502
starter_minutes_std_30,eligible,eligible for at least one first-pass feature set,0.1033326173412438,0.0156685934489402
starter_minutes_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.0657106143480351,0.0079306358381502
starter_minutes_momentum_3_vs_10,eligible,eligible for at least one first-pass feature set,0.0724931102450443,0.0079306358381502
starter_minutes_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.1163274049163305,0.0079306358381502
starter_minutes_z_5_vs_30,eligible,eligible for at least one first-pass feature set,0.1111391884180878,0.3625202312138728
starter_minutes_z_10_vs_30,eligible,eligible for at least one first-pass feature set,0.1094136391752463,0.3625202312138728
bench_minutes_roll_5,eligible,eligible for at least one first-pass feature set,-0.0944376667237134,0.0079306358381502
bench_minutes_roll_10,eligible,eligible for at least one first-pass feature set,-0.0931717738605641,0.0079306358381502
bench_minutes_roll_30,eligible,eligible for at least one first-pass feature set,-0.0708502011931815,0.0079306358381502
bench_minutes_std_30,eligible,eligible for at least one first-pass feature set,-0.2626801668828299,0.0156685934489402
bench_minutes_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,-0.0167376205821234,0.0079306358381502
bench_minutes_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,-0.0634843502287915,0.0079306358381502
bench_minutes_z_5_vs_30,eligible,eligible for at least one first-pass feature set,-0.0430521579840699,0.2079845857418111
bench_minutes_z_10_vs_30,eligible,eligible for at least one first-pass feature set,-0.0551147975571352,0.2079845857418111
numMinutes_roll_3,eligible,eligible for at least one first-pass feature set,0.6406597002005424,0.0079306358381502
numMinutes_roll_5,eligible,eligible for at least one first-pass feature set,0.647741442149864,0.0079306358381502
numMinutes_roll_10,eligible,eligible for at least one first-pass feature set,0.6502900878014162,0.0079306358381502
numMinutes_roll_30,eligible,eligible for at least one first-pass feature set,0.6421613048412316,0.0079306358381502
numMinutes_std_30,eligible,eligible for at least one first-pass feature set,-0.2767702165369945,0.0156685934489402
numMinutes_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.0683379665278834,0.0079306358381502
numMinutes_momentum_3_vs_10,eligible,eligible for at least one first-pass feature set,0.0793537379917097,0.0079306358381502
numMinutes_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.1022097638583163,0.0079306358381502
numMinutes_z_5_vs_30,eligible,eligible for at least one first-pass feature set,0.1127795359847753,0.0162774566473988
numMinutes_z_10_vs_30,eligible,eligible for at least one first-pass feature set,0.103565955590107,0.0162774566473988
points_roll_5,eligible,eligible for at least one first-pass feature set,0.678569760610955,0.0079306358381502
points_roll_10,eligible,eligible for at least one first-pass feature set,0.6905298916706901,0.0079306358381502
points_roll_30,eligible,eligible for at least one first-pass feature set,0.6878139351136404,0.0079306358381502
points_std_30,eligible,eligible for at least one first-pass feature set,0.4911103518448297,0.0156685934489402
points_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.0493934803813684,0.0079306358381502
points_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0994729479792392,0.0079306358381502
points_z_5_vs_30,eligible,eligible for at least one first-pass feature set,0.1032312033630585,0.018281310211946
points_z_10_vs_30,eligible,eligible for at least one first-pass feature set,0.1031402511045012,0.018281310211946
reboundsTotal_roll_5,eligible,eligible for at least one first-pass feature set,0.5236768458810492,0.0079306358381502
reboundsTotal_roll_10,eligible,eligible for at least one first-pass feature set,0.5356260071986819,0.0079306358381502
reboundsTotal_roll_30,eligible,eligible for at least one first-pass feature set,0.536281801630391,0.0079306358381502
reboundsTotal_std_30,eligible,eligible for at least one first-pass feature set,0.3279430467678864,0.0156685934489402
reboundsTotal_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.0405119675900999,0.0079306358381502
reboundsTotal_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0709230792564273,0.0079306358381502
reboundsTotal_z_5_vs_30,eligible,eligible for at least one first-pass feature set,0.0757271921285597,0.0185973025048169
reboundsTotal_z_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0727873664315175,0.0185973025048169
assists_roll_5,eligible,eligible for at least one first-pass feature set,0.55354753558849,0.0079306358381502
assists_roll_10,eligible,eligible for at least one first-pass feature set,0.5645232556018697,0.0079306358381502
assists_roll_30,eligible,eligible for at least one first-pass feature set,0.5636607190542609,0.0079306358381502
assists_std_30,eligible,eligible for at least one first-pass feature set,0.460223629366616,0.0156685934489402
assists_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.0400457023285426,0.0079306358381502
assists_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0807144611771833,0.0079306358381502
assists_z_5_vs_30,eligible,eligible for at least one first-pass feature set,0.0782522235064847,0.0248400770712909
assists_z_10_vs_30,eligible,eligible for at least one first-pass feature set,0.078656986509108,0.0248400770712909
steals_roll_5,eligible,eligible for at least one first-pass feature set,0.3705239531118527,0.0079306358381502
steals_roll_10,eligible,eligible for at least one first-pass feature set,0.4199957497394237,0.0079306358381502
steals_roll_30,eligible,eligible for at least one first-pass feature set,0.461414513726012,0.0079306358381502
steals_std_30,eligible,eligible for at least one first-pass feature set,0.3813534026404165,0.0156685934489402
steals_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.0186018855634853,0.0079306358381502
steals_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0375256070084111,0.0079306358381502
steals_z_5_vs_30,drop,noisy low-volume z-score feature; keep rolling/momentum first,0.0398777373411935,0.0333641618497109
steals_z_10_vs_30,drop,noisy low-volume z-score feature; keep rolling/momentum first,0.0406539684350532,0.0333641618497109
blocks_roll_5,eligible,eligible for at least one first-pass feature set,0.2844865980747558,0.0079306358381502
blocks_roll_10,eligible,eligible for at least one first-pass feature set,0.308049182337396,0.0079306358381502
blocks_roll_30,eligible,eligible for at least one first-pass feature set,0.3225240520614076,0.0079306358381502
blocks_std_30,eligible,eligible for at least one first-pass feature set,0.3194544646448828,0.0156685934489402
blocks_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.0145511465719421,0.0079306358381502
blocks_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0296774453793519,0.0079306358381502
blocks_z_5_vs_30,drop,noisy low-volume z-score feature; keep rolling/momentum first,0.0323050685719295,0.0567321772639691
blocks_z_10_vs_30,drop,noisy low-volume z-score feature; keep rolling/momentum first,0.0327402951000238,0.0567321772639691
turnovers_roll_5,eligible,eligible for at least one first-pass feature set,0.5724004455796846,0.0079306358381502
turnovers_roll_10,eligible,eligible for at least one first-pass feature set,0.6049654888697215,0.0079306358381502
turnovers_roll_30,eligible,eligible for at least one first-pass feature set,0.6239655332072788,0.0079306358381502
turnovers_std_30,eligible,eligible for at least one first-pass feature set,0.5493886977869337,0.0156685934489402
turnovers_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.0268240670322431,0.0079306358381502
turnovers_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0490833208863122,0.0079306358381502
turnovers_z_5_vs_30,drop,noisy low-volume z-score feature; keep rolling/momentum first,0.054780632626232,0.0264200385356454
turnovers_z_10_vs_30,drop,noisy low-volume z-score feature; keep rolling/momentum first,0.052112857970674,0.0264200385356454
usagePercentage_roll_3,eligible,eligible for at least one first-pass feature set,0.4523297133042546,0.0079306358381502
usagePercentage_roll_5,eligible,eligible for at least one first-pass feature set,0.4807645102698768,0.0079306358381502
usagePercentage_roll_10,eligible,eligible for at least one first-pass feature set,0.5052188760180656,0.0079306358381502
usagePercentage_roll_30,eligible,eligible for at least one first-pass feature set,0.521188339634693,0.0079306358381502
usagePercentage_std_30,eligible,eligible for at least one first-pass feature set,-0.3425187920168315,0.0156685934489402
usagePercentage_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.0153813439358336,0.0079306358381502
usagePercentage_momentum_3_vs_10,eligible,eligible for at least one first-pass feature set,0.0175641224222885,0.0079306358381502
usagePercentage_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.03412385469919,0.0079306358381502
usagePercentage_z_5_vs_30,eligible,eligible for at least one first-pass feature set,0.042928403765796,0.0160770712909441
usagePercentage_z_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0439256113002728,0.0160770712909441
trueShootingPercentage_roll_5,eligible,eligible for at least one first-pass feature set,0.2832772318132173,0.0079306358381502
trueShootingPercentage_roll_10,eligible,eligible for at least one first-pass feature set,0.3276067077491498,0.0079306358381502
trueShootingPercentage_roll_30,eligible,eligible for at least one first-pass feature set,0.364878604164709,0.0079306358381502
trueShootingPercentage_std_30,eligible,eligible for at least one first-pass feature set,-0.5744256314256148,0.0156685934489402
trueShootingPercentage_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.01901857361865,0.0079306358381502
trueShootingPercentage_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0375450654052188,0.0079306358381502
trueShootingPercentage_z_5_vs_30,eligible,eligible for at least one first-pass feature set,0.0400381184345552,0.0178497109826589
trueShootingPercentage_z_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0406275858152054,0.0178497109826589
effectiveFieldGoalPercentage_roll_5,eligible,eligible for at least one first-pass feature set,0.2529793751804421,0.0079306358381502
effectiveFieldGoalPercentage_roll_10,eligible,eligible for at least one first-pass feature set,0.2934455961548129,0.0079306358381502
effectiveFieldGoalPercentage_roll_30,eligible,eligible for at least one first-pass feature set,0.3282007595754487,0.0079306358381502
effectiveFieldGoalPercentage_std_30,eligible,eligible for at least one first-pass feature set,-0.5612973409028239,0.0156685934489402
effectiveFieldGoalPercentage_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.0176758754248307,0.0079306358381502
effectiveFieldGoalPercentage_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0347493379277118,0.0079306358381502
effectiveFieldGoalPercentage_z_5_vs_30,eligible,eligible for at least one first-pass feature set,0.0362567686595483,0.0189364161849711
effectiveFieldGoalPercentage_z_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0358168127032977,0.0189364161849711
fieldGoalsPercentage_roll_5,drop,redundant first-pass feature family based on EDA redundancy review,0.288255939195108,0.0079306358381502
fieldGoalsPercentage_roll_10,drop,redundant first-pass feature family based on EDA redundancy review,0.3246935643358984,0.0079306358381502
fieldGoalsPercentage_roll_30,drop,redundant first-pass feature family based on EDA redundancy review,0.3512211912826303,0.0079306358381502
fieldGoalsPercentage_std_30,drop,redundant first-pass feature family based on EDA redundancy review,-0.5393444607399877,0.0156685934489402
fieldGoalsPercentage_momentum_5_vs_10,drop,redundant first-pass feature family based on EDA redundancy review,0.0193921407811857,0.0079306358381502
fieldGoalsPercentage_momentum_10_vs_30,drop,redundant first-pass feature family based on EDA redundancy review,0.0379472646956616,0.0079306358381502
fieldGoalsPercentage_z_5_vs_30,drop,redundant first-pass feature family based on EDA redundancy review,0.0393291961763707,0.0190366088631984
fieldGoalsPercentage_z_10_vs_30,drop,redundant first-pass feature family based on EDA redundancy review,0.0388115750242878,0.0190366088631984
threePointersPercentage_roll_5,eligible,eligible for at least one first-pass feature set,0.1941418008756289,0.0079306358381502
threePointersPercentage_roll_10,eligible,eligible for at least one first-pass feature set,0.2173799401783172,0.0079306358381502
threePointersPercentage_roll_30,eligible,eligible for at least one first-pass feature set,0.2303223080145921,0.0079306358381502
threePointersPercentage_std_30,eligible,eligible for at least one first-pass feature set,-0.1359385575085793,0.0156685934489402
threePointersPercentage_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.011178798468632,0.0079306358381502
threePointersPercentage_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0298020358676075,0.0079306358381502
threePointersPercentage_z_5_vs_30,drop,noisy low-volume z-score feature; keep rolling/momentum first,0.0283927396696049,0.100300578034682
threePointersPercentage_z_10_vs_30,drop,noisy low-volume z-score feature; keep rolling/momentum first,0.0306302296346502,0.100300578034682
freeThrowsPercentage_roll_5,eligible,eligible for at least one first-pass feature set,0.5148350681110921,0.0079306358381502
freeThrowsPercentage_roll_10,eligible,eligible for at least one first-pass feature set,0.5605088056597861,0.0079306358381502
freeThrowsPercentage_roll_30,eligible,eligible for at least one first-pass feature set,0.5905398401841573,0.0079306358381502
freeThrowsPercentage_std_30,eligible,eligible for at least one first-pass feature set,-0.1124355107466139,0.0156685934489402
freeThrowsPercentage_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.0250258435107821,0.0079306358381502
freeThrowsPercentage_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0563657428737327,0.0079306358381502
freeThrowsPercentage_z_5_vs_30,drop,noisy low-volume z-score feature; keep rolling/momentum first,0.0527710075613274,0.0352986512524084
freeThrowsPercentage_z_10_vs_30,drop,noisy low-volume z-score feature; keep rolling/momentum first,0.0552605624180348,0.0352986512524084
playerImpactEstimate_roll_5,eligible,eligible for at least one first-pass feature set,0.2408366903252915,0.0079306358381502
playerImpactEstimate_roll_10,eligible,eligible for at least one first-pass feature set,0.2796047325685769,0.0079306358381502
playerImpactEstimate_roll_30,eligible,eligible for at least one first-pass feature set,0.3036818741162214,0.0079306358381502
playerImpactEstimate_std_30,eligible,eligible for at least one first-pass feature set,-0.2594843929994687,0.0156685934489402
playerImpactEstimate_momentum_5_vs_10,eligible,eligible for at least one first-pass feature set,0.0058010014489711,0.0079306358381502
playerImpactEstimate_momentum_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0193068521418035,0.0079306358381502
playerImpactEstimate_z_5_vs_30,eligible,eligible for at least one first-pass feature set,0.0389418542987678,0.0159537572254335
playerImpactEstimate_z_10_vs_30,eligible,eligible for at least one first-pass feature set,0.0420104343803399,0.0159537572254335
