feature_set,n_features,mean_abs_correlation,max_abs_correlation,n_features_with_correlation
lineup_aware_baseline,5,0.6478555606563898,0.7297709085477713,5
lineup_aware_player_role,91,0.2725145749330029,0.7297709085477713,91
lineup_aware_player_advanced,163,0.24031187758027428,0.7297709085477713,163
lineup_aware_player_team_opp,487,0.08859762130879209,0.7297709085477713,482
pre_lineup_baseline,4,0.686826990206677,0.7297709085477713,4
pre_lineup_player_role,90,0.2700761830716447,0.7297709085477713,90
pre_lineup_player_advanced,162,0.23875843335265104,0.7297709085477713,162
pre_lineup_player_team_opp,486,0.08775900962241694,0.7297709085477713,481
lineup_aware_compact_40,41,0.30423709348180217,0.7297709085477713,41
pre_lineup_compact_40,40,0.2995437747574662,0.7297709085477713,40
pre_lineup_compact_40_plus_scoring,45,0.3008873226255477,0.7297709085477713,45
pre_lineup_starter_history_roll10,10,0.34591461204644586,0.7297709085477713,10
lineup_aware_starter_flag_roll10,11,0.3591923602654272,0.7297709085477713,11
lineup_aware_compact_40_plus_scoring,46,0.3050412904479323,0.7297709085477713,46
