feature,importance,importance_type
fantasy_points_roll_10,63.12681712925265,model_feature_importance
current_is_starter,13.17468324329842,model_feature_importance
numMinutes_roll_10,8.11643408269564,model_feature_importance
usagePercentage_roll_10,5.063828009636274,model_feature_importance
pos_opp_difficulty_roll_30,2.8270593032507394,model_feature_importance
days_since_last_game,2.6418222976529364,model_feature_importance
starter_minutes_share_roll_10,1.9701876917618453,model_feature_importance
starter_minutes_roll_10,1.3300512060735517,model_feature_importance
current_is_starter_roll_10,1.0986882802382856,model_feature_importance
home,0.41310923052615317,model_feature_importance
is_back_to_back,0.23731952561351616,model_feature_importance
