config_name,learning_rate,max_iter,max_leaf_nodes,l2_regularization,min_samples_leaf,early_stopping
reference_current_hgb,0.05,160,31,0.1,20,auto
slower_learning_more_trees,0.03,260,31,0.1,20,auto
slower_learning_more_trees_l2_03,0.03,260,31,0.3,20,auto
fast_learning_fewer_trees,0.08,120,31,0.1,20,auto
fast_learning_more_regularized,0.08,140,31,0.5,20,auto
small_trees,0.05,180,15,0.1,20,auto
small_trees_more_trees,0.03,300,15,0.1,20,auto
large_trees,0.05,160,63,0.1,20,auto
large_trees_more_l2,0.05,180,63,0.5,20,auto
large_trees_high_leaf_min,0.05,180,63,0.3,40,auto
low_l2,0.05,180,31,0.0,20,auto
medium_l2,0.05,180,31,0.3,20,auto
high_l2,0.05,180,31,0.8,20,auto
small_leaf,0.05,180,31,0.1,10,auto
medium_leaf,0.05,180,31,0.1,40,auto
large_leaf,0.05,180,31,0.1,80,auto
no_internal_early_stop_reference,0.05,160,31,0.1,20,False
no_early_stop_more_trees,0.03,260,31,0.3,40,False
no_early_stop_small_trees,0.03,300,15,0.3,40,False
no_early_stop_fast_regularized,0.08,120,31,0.5,40,False
