feature_set,model,config_name,n_features,train_rows,validation_rows,fit_predict_seconds,n_iter,mae,rmse,r2,mean_error,median_absolute_error,learning_rate,max_iter,max_leaf_nodes,l2_regularization,min_samples_leaf,early_stopping
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,no_early_stop_more_trees,45,76937,26162,5.601,260,7.769961117050048,9.933004652325202,0.5562663010115096,0.029376631116071555,6.4139280306635,0.03,260,31,0.3,40,False
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,large_leaf,45,76937,26162,3.054,118,7.772058006962197,9.934850768529673,0.556101343855786,0.04603630813038411,6.421615975566109,0.05,180,31,0.1,80,auto
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,no_internal_early_stop_reference,45,76937,26162,3.643,160,7.773355851145936,9.936893996592717,0.5559187383030462,0.033270960137867525,6.408385273970871,0.05,160,31,0.1,20,False
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,slower_learning_more_trees,45,76937,26162,5.06,234,7.776869739678533,9.939458837104434,0.5556894625140778,0.044417673146532305,6.427710447570859,0.03,260,31,0.1,20,auto
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,slower_learning_more_trees_l2_03,45,76937,26162,4.746,207,7.7775962636316365,9.937696784471502,0.5558469819866556,0.054016271873171706,6.426832147158558,0.03,260,31,0.3,20,auto
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,no_early_stop_small_trees,45,76937,26162,4.939,300,7.777977008158903,9.936623051050582,0.5559429551655506,0.025201238788339426,6.4093626516415,0.03,300,15,0.3,40,False
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,medium_leaf,45,76937,26162,2.974,107,7.778245702313495,9.934658662168731,0.5561185106825406,0.05032153637864601,6.4303947943197155,0.05,180,31,0.1,40,auto
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,medium_l2,45,76937,26162,3.214,132,7.779717640956506,9.942045642976643,0.5554581632676315,0.06292186117863287,6.421397314832966,0.05,180,31,0.3,20,auto
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,high_l2,45,76937,26162,3.238,135,7.7812578532457275,9.945999848701122,0.555104481640796,0.05225808595515281,6.419115381290805,0.05,180,31,0.8,20,auto
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,low_l2,45,76937,26162,3.157,130,7.781688581088382,9.942122390250423,0.5554512999908051,0.042487412758314205,6.444701292720179,0.05,180,31,0.0,20,auto
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,reference_current_hgb,45,76937,26162,3.578,159,7.781769330266231,9.947804761804573,0.5549429954908913,0.0459036357954364,6.415698066076466,0.05,160,31,0.1,20,auto
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,small_trees_more_trees,45,76937,26162,4.172,255,7.783106867080222,9.942045123913962,0.5554582096856585,0.033162493695992216,6.4396672261654135,0.03,300,15,0.1,20,auto
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,small_trees,45,76937,26162,3.038,172,7.783425382670688,9.942161316439657,0.5554478189190546,0.04016023254809192,6.42861676525822,0.05,180,15,0.1,20,auto
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,small_leaf,45,76937,26162,3.259,121,7.783442791221723,9.946358890927536,0.5550723603532359,0.04478430568576552,6.420051780470294,0.05,180,31,0.1,10,auto
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,large_trees_high_leaf_min,45,76937,26162,3.544,100,7.783940676912388,9.944565543005698,0.555232788532896,0.06309708921916797,6.401969264880995,0.05,180,63,0.3,40,auto
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,no_early_stop_fast_regularized,45,76937,26162,2.774,120,7.785446948737891,9.9515969481571,0.5546036119124751,0.038552077616156345,6.412809793152563,0.08,120,31,0.5,40,False
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,fast_learning_fewer_trees,45,76937,26162,2.529,98,7.7866167268429365,9.95510866951823,0.554289213331076,0.044237940762770635,6.434076651718037,0.08,120,31,0.1,20,auto
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,large_trees,45,76937,26162,3.516,103,7.787561514843245,9.952490106544724,0.5545236594438081,0.06027716592841029,6.413292986563453,0.05,160,63,0.1,20,auto
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,fast_learning_more_regularized,45,76937,26162,2.507,104,7.792556312251789,9.964294855241517,0.5534662647788944,0.03121979248919517,6.428697572364694,0.08,140,31,0.5,20,auto
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,large_trees_more_l2,45,76937,26162,4.085,125,7.7930104298663165,9.964954816039972,0.553407112671513,0.06086725550740095,6.402467005136314,0.05,180,63,0.5,20,auto
