game_date,season_start,gameId,personId,player_name,playerteamName,opponentteamName,starter_label,primary_position,fantasy_points,isolation_anomaly_score,isolation_is_outlier,isolation_score_decile,anomaly_variant
2025-04-04 19:00:00,2024,22401119,1628396,Tony Bradley,Pacers,Jazz,Bench,Center,2.0,0.05936256490377845,1.0,10.0,pre_lineup_anomaly
2024-11-20 20:00:00,2024,22400255,203954,Joel Embiid,76ers,Grizzlies,Starter,Center,54.2,0.056121205844480215,1.0,10.0,pre_lineup_anomaly
2024-11-13 22:00:00,2024,22400225,1630643,Jay Huff,Grizzlies,Lakers,Starter,Center,15.6,0.053987266600563855,1.0,10.0,pre_lineup_anomaly
2024-12-29 19:00:00,2024,22400440,1630658,Colin Castleton,Grizzlies,Thunder,Bench,Center,4.2,0.05180605235918634,1.0,10.0,pre_lineup_anomaly
2025-04-13 15:30:00,2024,22401195,203497,Rudy Gobert,Timberwolves,Jazz,Starter,Center,55.6,0.05073804879181165,1.0,10.0,pre_lineup_anomaly
2024-12-08 18:00:00,2024,22400350,203999,Nikola Jokic,Nuggets,Hawks,Starter,Center,82.8,0.04854091563728369,1.0,10.0,pre_lineup_anomaly
2025-02-20 21:00:00,2024,22400794,203999,Nikola Jokic,Nuggets,Hornets,Starter,Center,66.9,0.04831978286398164,1.0,10.0,pre_lineup_anomaly
2025-04-09 21:00:00,2024,22401162,1631101,Shaedon Sharpe,Trail Blazers,Jazz,Starter,Guard,53.9,0.04813733669461284,1.0,10.0,pre_lineup_anomaly
2024-11-15 19:00:00,2024,22400010,203954,Joel Embiid,76ers,Magic,Starter,Center,32.6,0.048035031964981156,1.0,10.0,pre_lineup_anomaly
2025-01-25 19:00:00,2024,22400638,1630595,Cade Cunningham,Pistons,Magic,Starter,Guard,58.5,0.04709894795341274,1.0,10.0,pre_lineup_anomaly
2025-03-31 19:00:00,2024,22401091,1629234,Drew Eubanks,Clippers,Magic,Bench,Center,-1.0,0.04708707373513776,1.0,10.0,pre_lineup_anomaly
2025-02-03 21:00:00,2024,22400706,203999,Nikola Jokic,Nuggets,Pelicans,Starter,Center,66.8,0.04628555026268333,1.0,10.0,pre_lineup_anomaly
2025-03-15 21:00:00,2024,22400975,203999,Nikola Jokic,Nuggets,Wizards,Starter,Center,75.1,0.04552030834908938,1.0,10.0,pre_lineup_anomaly
2025-02-10 22:30:00,2024,22400768,1629637,Jaxson Hayes,Lakers,Jazz,Starter,Center,29.4,0.0442900929706489,1.0,10.0,pre_lineup_anomaly
2024-11-23 20:00:00,2024,22400267,1629111,Jock Landale,Rockets,Trail Blazers,Bench,Center,11.7,0.043851845347187335,1.0,10.0,pre_lineup_anomaly
2025-04-13 15:30:00,2024,22401195,1641740,Jaylen Clark,Timberwolves,Jazz,Bench,Guard,0.0,0.04348603689739139,1.0,10.0,pre_lineup_anomaly
2025-01-25 15:00:00,2024,22400634,203999,Nikola Jokic,Nuggets,Timberwolves,Starter,Center,33.1,0.043076820311376274,1.0,10.0,pre_lineup_anomaly
2024-11-06 21:00:00,2024,22400177,203999,Nikola Jokic,Nuggets,Thunder,Starter,Center,78.0,0.04258263801299189,1.0,10.0,pre_lineup_anomaly
2025-03-31 19:00:00,2024,22401089,203994,Jusuf Nurkic,Hornets,Jazz,Bench,Center,8.9,0.04245180400154558,1.0,10.0,pre_lineup_anomaly
2025-02-12 21:00:00,2024,22400780,203999,Nikola Jokic,Nuggets,Trail Blazers,Starter,Center,61.0,0.042256688455429736,1.0,10.0,pre_lineup_anomaly
2025-02-20 21:00:00,2024,22400794,1630192,Zeke Nnaji,Nuggets,Hornets,Bench,Center,10.6,0.04217717434658186,1.0,10.0,pre_lineup_anomaly
2024-11-22 20:00:00,2024,22400031,203500,Steven Adams,Rockets,Trail Blazers,Bench,Center,3.7,0.04210631905052231,1.0,10.0,pre_lineup_anomaly
2025-03-23 15:30:00,2024,22401030,1631117,Walker Kessler,Jazz,Cavaliers,Starter,Center,33.6,0.04172609195457733,1.0,10.0,pre_lineup_anomaly
2024-11-22 20:00:00,2024,22400031,1629098,Jack McVeigh,Rockets,Trail Blazers,Bench,Forward,6.9,0.041718136962919705,1.0,10.0,pre_lineup_anomaly
2024-12-23 22:30:00,2024,22400404,203076,Anthony Davis,Lakers,Pistons,Starter,Center,49.0,0.041592125368848265,1.0,10.0,pre_lineup_anomaly
2025-03-05 21:30:00,2024,22400895,1628983,Shai Gilgeous-Alexander,Thunder,Grizzlies,Starter,Guard,57.4,0.041312708811876986,1.0,10.0,pre_lineup_anomaly
2024-12-13 21:00:00,2024,22401213,203999,Nikola Jokic,Nuggets,Clippers,Starter,Center,28.4,0.041221747667686715,1.0,10.0,pre_lineup_anomaly
2024-11-10 21:00:00,2024,22400210,1630643,Jay Huff,Grizzlies,Trail Blazers,Bench,Center,31.4,0.04071699005324503,1.0,10.0,pre_lineup_anomaly
2025-04-06 18:00:00,2024,22401136,1629027,Trae Young,Hawks,Jazz,Starter,Guard,54.5,0.04070981996201872,1.0,10.0,pre_lineup_anomaly
2025-02-08 20:00:00,2024,22400747,203497,Rudy Gobert,Timberwolves,Trail Blazers,Starter,Center,31.700000000000003,0.04066774158742725,1.0,10.0,pre_lineup_anomaly
2025-04-02 22:30:00,2024,22401111,1629234,Drew Eubanks,Clippers,Pelicans,Bench,Center,2.0,0.040493069766879275,1.0,10.0,pre_lineup_anomaly
2024-12-29 19:00:00,2024,22400440,1628991,Jaren Jackson Jr.,Grizzlies,Thunder,Starter,Center,28.0,0.039791454859776976,1.0,10.0,pre_lineup_anomaly
2025-02-10 21:00:00,2024,22400763,203999,Nikola Jokic,Nuggets,Trail Blazers,Starter,Center,67.4,0.03974003221398259,1.0,10.0,pre_lineup_anomaly
2024-11-22 20:00:00,2024,22400031,1629111,Jock Landale,Rockets,Trail Blazers,Bench,Center,6.2,0.03947608273018921,1.0,10.0,pre_lineup_anomaly
