experiment,base_feature_set,anomaly_variant,model,n_base_features,n_features,train_rows,validation_rows,train_mae,validation_mae,mae_gap,train_rmse,validation_rmse,rmse_gap,train_r2,validation_r2,r2_gap,overfitting_interpretation
lineup_aware_starter_flag_roll10_best_pca_plus_isolation,lineup_aware_starter_flag_roll10,lineup_aware_anomaly,hist_gradient_boosting,11,44,76937,26162,7.359589118096379,7.579672486347945,0.22008336825156682,9.389131533462812,9.694710672391565,0.30557913892875277,0.6011446508004211,0.5773013707223377,0.02384328007808345,Small gap with improved validation MAE = useful compression.
lineup_aware_starter_flag_roll10_best_pca_reference,lineup_aware_starter_flag_roll10,none,hist_gradient_boosting,11,41,76937,26162,7.409026122774365,7.581493274826162,0.17246715205179708,9.45261955956563,9.69404735724241,0.24142779767677958,0.5957324031379916,0.5773592110894976,0.01837319204849397,Small gap with improved validation MAE = useful compression.
lineup_aware_starter_flag_roll10_best_pca_reference,lineup_aware_starter_flag_roll10,none,ridge,11,41,76937,26162,7.637865405504943,7.589702912183666,-0.048162493321276756,9.766861469274561,9.718277069597349,-0.048584399677212176,0.5684067635143725,0.5752438382029276,-0.0068370746885551,Small gap with improved validation MAE = useful compression.
lineup_aware_starter_flag_roll10_best_pca_plus_isolation,lineup_aware_starter_flag_roll10,lineup_aware_anomaly,ridge,11,44,76937,26162,7.637594371998586,7.5900752752505625,-0.04751909674802324,9.766735759921426,9.718879206102484,-0.04785655381894216,0.5684178735229636,0.5751912014829936,-0.006773327960030051,Small gap with improved validation MAE = useful compression.
lineup_aware_starter_flag_roll10_reference,lineup_aware_starter_flag_roll10,none,hist_gradient_boosting,11,11,76937,26162,7.621969636346413,7.655891244591493,0.03392160824508039,9.724880243968183,9.78251609850373,0.05763585453554754,0.5721090526500594,0.5696098961274687,0.0024991565225906953,Small gap with worse validation MAE = underpowered or unhelpful features.
lineup_aware_starter_flag_roll10_plus_isolation,lineup_aware_starter_flag_roll10,lineup_aware_anomaly,hist_gradient_boosting,11,14,76937,26162,7.634611930545788,7.662170433138331,0.027558502592543554,9.7383019079664,9.781375630274027,0.04307372230762674,0.5709271416244401,0.5697102420145412,0.0012168996098989027,Small gap with worse validation MAE = underpowered or unhelpful features.
lineup_aware_starter_flag_roll10_reference,lineup_aware_starter_flag_roll10,none,ridge,11,11,76937,26162,7.794193485773586,7.721617482900054,-0.07257600287353139,9.961254193949047,9.865872158289582,-0.09538203565946546,0.5510555366945682,0.562244005886912,-0.011188469192343842,Small gap with worse validation MAE = underpowered or unhelpful features.
lineup_aware_starter_flag_roll10_plus_isolation,lineup_aware_starter_flag_roll10,lineup_aware_anomaly,ridge,11,14,76937,26162,7.7929543967049355,7.723145275641869,-0.06980912106306647,9.95997584835813,9.868341395920451,-0.09163445243767931,0.551170756994915,0.5620248546910267,-0.010854097696111675,Small gap with worse validation MAE = underpowered or unhelpful features.
pre_lineup_player_team_opp_plus_isolation,pre_lineup_player_team_opp,pre_lineup_anomaly,hist_gradient_boosting,484,487,76937,26162,7.349433489444744,7.730822718913477,0.3813892294687333,9.363136601360736,9.89742107987017,0.5342844785094343,0.6033501508212727,0.5594398318274587,0.043910318993814035,Small gap with worse validation MAE = underpowered or unhelpful features.
pre_lineup_player_team_opp_reference,pre_lineup_player_team_opp,none,hist_gradient_boosting,484,484,76937,26162,7.354056684040197,7.731508771004425,0.3774520869642277,9.36811243445491,9.90076184766369,0.5326494132087802,0.6029284571174601,0.5591423689619857,0.04378608815547447,Small gap with worse validation MAE = underpowered or unhelpful features.
pre_lineup_player_team_opp_reference,pre_lineup_player_team_opp,none,ridge,484,484,76937,26162,7.66711488043135,7.747664265330848,0.08054938489949848,9.802769059038846,9.91228551756075,0.10951645852190417,0.5652274492710359,0.5581155279140667,0.007111921356969142,Small gap with worse validation MAE = underpowered or unhelpful features.
pre_lineup_player_team_opp_plus_isolation,pre_lineup_player_team_opp,pre_lineup_anomaly,ridge,484,487,76937,26162,7.667178485736327,7.748739939350569,0.08156145361424194,9.802651390632297,9.911724539855609,0.10907314922331146,0.5652378868700249,0.5581655426805217,0.007072344189503199,Small gap with worse validation MAE = underpowered or unhelpful features.
pre_lineup_compact_40_plus_scoring_plus_isolation,pre_lineup_compact_40_plus_scoring,pre_lineup_anomaly,hist_gradient_boosting,45,48,76937,26162,7.540535909816871,7.780141216612127,0.23960530679525593,9.60468039366957,9.940682853104386,0.3360024594348161,0.582621176862484,0.5555800246257353,0.027041152236748744,Small gap with worse validation MAE = underpowered or unhelpful features.
pre_lineup_compact_40_plus_scoring_reference,pre_lineup_compact_40_plus_scoring,none,hist_gradient_boosting,45,45,76937,26162,7.490264565838786,7.781769330266231,0.29150476442744466,9.542915072046522,9.947804761804573,0.4048896897580505,0.5879720360864888,0.5549429954908913,0.033029040595597525,Small gap with worse validation MAE = underpowered or unhelpful features.
pre_lineup_compact_40_plus_scoring_plus_isolation,pre_lineup_compact_40_plus_scoring,pre_lineup_anomaly,ridge,45,48,76937,26162,7.762843805508752,7.787552584609768,0.0247087791010161,9.910609665587446,9.956455885864814,0.04584622027736884,0.555608935704287,0.554168569848809,0.0014403658554780208,Small gap with worse validation MAE = underpowered or unhelpful features.
pre_lineup_compact_40_plus_scoring_reference,pre_lineup_compact_40_plus_scoring,none,ridge,45,45,76937,26162,7.765719155484011,7.800043277813897,0.034324122329885576,9.915533354687671,9.954067511352719,0.03853415666504745,0.5551672702499522,0.5543824380609528,0.0007848321889993848,Small gap with worse validation MAE = underpowered or unhelpful features.
