feature,train_missing_rate,train_abs_target_corr,train_target_corr,train_non_missing_rows
fantasy_points_roll_3,0.010632075594317428,0.707585251312647,0.707585251312647,76119
numMinutes_roll_3,0.010632075594317428,0.6432353063060473,0.6432353063060473,76119
turnovers_roll_30,0.010632075594317428,0.6298402933891432,0.6298402933891432,76119
freeThrowsPercentage_roll_30,0.010632075594317428,0.5861226362429968,0.5861226362429968,76119
turnovers_roll_5,0.010632075594317428,0.580729346288903,0.580729346288903,76119
trueShootingPercentage_std_30,0.02096520529784109,0.5679660314241004,-0.5679660314241004,75324
assists_roll_30,0.010632075594317428,0.5634647786202917,0.5634647786202917,76119
freeThrowsPercentage_roll_10,0.010632075594317428,0.5577627698906245,0.5577627698906245,76119
assists_roll_5,0.010632075594317428,0.554046850855394,0.554046850855394,76119
effectiveFieldGoalPercentage_std_30,0.02096520529784109,0.5537439685299878,-0.5537439685299878,75324
turnovers_std_30,0.02096520529784109,0.5519207639867767,0.5519207639867767,75324
reboundsTotal_roll_30,0.010632075594317428,0.5374171879729447,0.5374171879729447,76119
reboundsTotal_roll_5,0.010632075594317428,0.5268604207339154,0.5268604207339154,76119
freeThrowsPercentage_roll_5,0.010632075594317428,0.5123736916584336,0.5123736916584336,76119
points_std_30,0.02096520529784109,0.48309292248537833,0.48309292248537833,75324
assists_std_30,0.02096520529784109,0.4594257832726619,0.4594257832726619,75324
usagePercentage_roll_3,0.010632075594317428,0.45782319998514515,0.45782319998514515,76119
offensiveRating_std_30,0.02096520529784109,0.45731325178547383,-0.45731325178547383,75324
steals_roll_30,0.010632075594317428,0.4571842741597827,0.4571842741597827,76119
starter_minutes_roll_3,0.010632075594317428,0.4470161054151529,0.4470161054151529,76119
defensiveRating_std_30,0.02096520529784109,0.43884553686980576,-0.43884553686980576,75324
steals_roll_10,0.010632075594317428,0.4185245495145065,0.4185245495145065,76119
current_is_starter_roll_5,0.010632075594317428,0.41474424302303375,0.41474424302303375,76119
fantasy_points_std_30,0.02096520529784109,0.41343178891426613,0.41343178891426613,75324
starter_minutes_share_roll_3,0.011203972081053329,0.40475973484701777,0.40475973484701777,76075
starter_minutes_share_roll_5,0.011151981491350065,0.4020127340358863,0.4020127340358863,76079
current_is_starter_roll_30,0.010632075594317428,0.3970884037761013,0.3970884037761013,76119
playerImpactEstimate_roll_30,0.010632075594317428,0.38090437805935834,0.38090437805935834,76119
starter_minutes_share_roll_30,0.011151981491350065,0.3738540488613,0.3738540488613,76079
steals_std_30,0.02096520529784109,0.3710981675197492,0.3710981675197492,75324
steals_roll_5,0.010632075594317428,0.37011869453945045,0.37011869453945045,76119
trueShootingPercentage_roll_30,0.010632075594317428,0.3506034720966008,0.3506034720966008,76119
offensiveRating_roll_30,0.010632075594317428,0.3485285735574127,0.3485285735574127,76119
usagePercentage_std_30,0.02096520529784109,0.3409735956138813,-0.3409735956138813,75324
reboundsTotal_std_30,0.02096520529784109,0.3274926262120296,0.3274926262120296,75324
offensiveRating_roll_10,0.010632075594317428,0.32376066052664204,0.32376066052664204,76119
