feature_a,feature_b,correlation,abs_correlation
opp_pos_starter_count_roll_10,opp_pos_starter_count_roll_30,1.0,1.0
opp_pos_starter_count_roll_5,opp_pos_starter_count_roll_30,1.0,1.0
opp_pos_starter_count_roll_5,opp_pos_starter_count_roll_10,1.0,1.0
current_is_starter_roll_5,starter_minutes_share_roll_5,0.995076635503089,0.995076635503089
current_is_starter_roll_30,starter_minutes_share_roll_30,0.9931608612017776,0.9931608612017776
opp_pos_minutes_allowed_roll_30,opp_pos_minutes_allowed_roll_10,0.9857376551835116,0.9857376551835116
opp_pos_minutes_allowed_roll_10,opp_pos_minutes_allowed_roll_5,0.979904610897235,0.979904610897235
starter_minutes_share_roll_3,starter_minutes_share_roll_5,0.9794110402336947,0.9794110402336947
current_is_starter_roll_5,starter_minutes_share_roll_3,0.9772999158366166,0.9772999158366166
opp_pos_minutes_allowed_roll_30,opp_pos_player_count_roll_30,0.9769779152829915,0.9769779152829915
starter_minutes_roll_3,starter_minutes_share_roll_3,0.9756017881514398,0.9756017881514398
trueShootingPercentage_std_30,effectiveFieldGoalPercentage_std_30,0.9752571257033267,0.9752571257033267
starter_minutes_momentum_10_vs_30,current_is_starter_momentum_10_vs_30,0.970440054798339,0.970440054798339
opp_pos_player_count_roll_30,opp_pos_player_count_roll_10,0.9664670217874904,0.9664670217874904
starter_minutes_roll_3,current_is_starter_roll_5,0.9662736358747406,0.9662736358747406
opp_pos_minutes_allowed_roll_30,opp_pos_minutes_allowed_roll_5,0.9655585656891967,0.9655585656891967
opp_pos_minutes_allowed_roll_10,opp_pos_player_count_roll_30,0.9631144479570827,0.9631144479570827
trueShootingPercentage_roll_30,effectiveFieldGoalPercentage_roll_30,0.9622315202489019,0.9622315202489019
starter_minutes_roll_3,starter_minutes_share_roll_5,0.9610528090766077,0.9610528090766077
numMinutes_z_10_vs_30,numMinutes_momentum_10_vs_30,0.9606408634403875,0.9606408634403875
opp_pos_minutes_allowed_roll_10,opp_pos_player_count_roll_10,0.9599617533983039,0.9599617533983039
opp_pos_player_count_roll_10,opp_pos_player_count_roll_5,0.9579819331549718,0.9579819331549718
trueShootingPercentage_roll_5,effectiveFieldGoalPercentage_roll_5,0.9571243688835728,0.9571243688835728
reboundsTotal_z_10_vs_30,reboundsTotal_momentum_10_vs_30,0.9494573030853481,0.9494573030853481
opp_pos_minutes_allowed_roll_30,opp_pos_player_count_roll_10,0.945225937964465,0.945225937964465
opp_pos_minutes_allowed_roll_5,opp_pos_player_count_roll_30,0.9434105485427089,0.9434105485427089
opp_pos_minutes_allowed_roll_5,opp_pos_player_count_roll_10,0.9409401652202052,0.9409401652202052
opp_pos_minutes_allowed_roll_5,opp_pos_player_count_roll_5,0.9382488530315026,0.9382488530315026
bench_minutes_momentum_10_vs_30,bench_minutes_z_10_vs_30,0.9374686836351324,0.9374686836351324
starter_minutes_momentum_5_vs_10,current_is_starter_momentum_5_vs_10,0.9332128009386391,0.9332128009386391
pace_roll_30,pace_std_30,0.9294298226077148,0.9294298226077148
assists_roll_30,assists_roll_5,0.9250281799662923,0.9250281799662923
opp_pos_player_count_roll_30,opp_pos_player_count_roll_5,0.9244237525930413,0.9244237525930413
assists_momentum_10_vs_30,assists_z_10_vs_30,0.9212062070683787,0.9212062070683787
opp_pos_minutes_allowed_roll_10,opp_pos_player_count_roll_5,0.9196288771891721,0.9196288771891721
blocks_roll_30,blocks_roll_10,0.91952275938167,0.91952275938167
freeThrowsPercentage_roll_30,freeThrowsPercentage_roll_10,0.912007771171861,0.912007771171861
reboundsTotal_roll_30,reboundsTotal_roll_5,0.9076902785124865,0.9076902785124865
blocks_roll_10,blocks_roll_5,0.9066850394907859,0.9066850394907859
opp_pos_minutes_allowed_roll_30,opp_pos_player_count_roll_5,0.9049720794742545,0.9049720794742545
freeThrowsPercentage_roll_10,freeThrowsPercentage_roll_5,0.900478420412695,0.900478420412695
blocks_roll_30,blocks_std_30,0.8978665267505654,0.8978665267505654
opp_pos_starter_count_roll_30,opp_pos_minutes_allowed_roll_30,0.8949904670896214,0.8949904670896214
opp_pos_starter_count_roll_5,opp_pos_minutes_allowed_roll_30,0.8949904670896214,0.8949904670896214
opp_pos_starter_count_roll_10,opp_pos_minutes_allowed_roll_30,0.8949904670896214,0.8949904670896214
current_is_starter_roll_5,current_is_starter_roll_30,0.8862681790158284,0.8862681790158284
opp_pos_starter_count_roll_10,opp_pos_minutes_allowed_roll_10,0.8831876157140963,0.8831876157140963
opp_pos_starter_count_roll_5,opp_pos_minutes_allowed_roll_10,0.8831876157140963,0.8831876157140963
opp_pos_starter_count_roll_30,opp_pos_minutes_allowed_roll_10,0.8831876157140963,0.8831876157140963
current_is_starter_roll_5,starter_minutes_share_roll_30,0.8821000973116112,0.8821000973116112
