component,rank,feature,loading,abs_loading
1,1,fantasy_points_roll_3,0.2014093093201944,0.2014093093201944
1,2,numMinutes_roll_3,0.1931007404101568,0.1931007404101568
1,3,freeThrowsPercentage_roll_30,0.1715464314272672,0.1715464314272672
1,4,freeThrowsPercentage_roll_10,0.16738539220883347,0.16738539220883347
1,5,turnovers_roll_30,0.1667975678656435,0.1667975678656435
1,6,trueShootingPercentage_std_30,-0.1626679438755205,0.1626679438755205
1,7,reboundsTotal_roll_5,0.16122455124691992,0.16122455124691992
1,8,reboundsTotal_roll_30,0.16010417458788073,0.16010417458788073
1,9,turnovers_roll_5,0.15802407875098526,0.15802407875098526
1,10,starter_minutes_roll_3,0.15786772507809105,0.15786772507809105
2,1,opp_pos_minutes_allowed_roll_30,0.27170137912913833,0.27170137912913833
2,2,opp_pos_minutes_allowed_roll_10,0.2714956492713873,0.2714956492713873
2,3,opp_pos_minutes_allowed_roll_5,0.2678806250316959,0.2678806250316959
2,4,opp_pos_player_count_roll_30,0.26680716178802155,0.26680716178802155
2,5,opp_pos_player_count_roll_10,0.2633809898142937,0.2633809898142937
2,6,opp_pos_player_count_roll_5,0.2554133126282743,0.2554133126282743
2,7,opp_pos_starter_count_roll_5,0.2519772097559654,0.2519772097559654
2,8,opp_pos_starter_count_roll_30,0.2519772097559654,0.2519772097559654
2,9,opp_pos_starter_count_roll_10,0.2519772097559653,0.2519772097559653
2,10,opp_pos_fp_allowed_per_player_std_30,-0.2155084250143605,0.2155084250143605
3,1,fantasy_points_z_5_vs_30,0.2743272819807324,0.2743272819807324
3,2,fantasy_points_z_10_vs_30,0.27027780093464904,0.27027780093464904
3,3,numMinutes_z_5_vs_30,0.26482204894940103,0.26482204894940103
3,4,numMinutes_momentum_10_vs_30,0.2537131693208117,0.2537131693208117
3,5,numMinutes_z_10_vs_30,0.2498967094975496,0.2498967094975496
3,6,points_z_5_vs_30,0.2485028614199258,0.2485028614199258
3,7,points_z_10_vs_30,0.2471595507950241,0.2471595507950241
3,8,reboundsTotal_z_10_vs_30,0.22087366686481608,0.22087366686481608
3,9,reboundsTotal_z_5_vs_30,0.2166713494372264,0.2166713494372264
3,10,reboundsTotal_momentum_10_vs_30,0.21225966832589896,0.21225966832589896
4,1,bench_minutes_momentum_10_vs_30,0.2713317430567374,0.2713317430567374
4,2,current_is_starter_momentum_10_vs_30,-0.26611095069210233,0.26611095069210233
4,3,starter_minutes_momentum_10_vs_30,-0.2649167817174052,0.2649167817174052
4,4,starter_minutes_share_roll_3,-0.2635630861335649,0.2635630861335649
4,5,bench_minutes_z_5_vs_30,0.2617706761292425,0.2617706761292425
4,6,starter_minutes_share_roll_5,-0.2607605004923325,0.2607605004923325
4,7,bench_minutes_z_10_vs_30,0.2587434869186096,0.2587434869186096
4,8,current_is_starter_roll_5,-0.25516299568190465,0.25516299568190465
4,9,starter_minutes_roll_3,-0.250593893241402,0.250593893241402
4,10,starter_minutes_std_30,-0.19388466541113386,0.19388466541113386
5,1,effectiveFieldGoalPercentage_roll_5,0.23894317379454988,0.23894317379454988
5,2,trueShootingPercentage_roll_5,0.22983854459855613,0.22983854459855613
5,3,bench_minutes_roll_30,0.22926756084250519,0.22926756084250519
5,4,effectiveFieldGoalPercentage_roll_10,0.20547591869201684,0.20547591869201684
5,5,starter_minutes_momentum_5_vs_10,0.20225424598707512,0.20225424598707512
5,6,effectiveFieldGoalPercentage_roll_30,0.20024997528196578,0.20024997528196578
5,7,bench_minutes_z_10_vs_30,-0.19355755203725045,0.19355755203725045
5,8,bench_minutes_std_30,0.1927740673460107,0.1927740673460107
5,9,starter_minutes_momentum_3_vs_10,0.1909633511833783,0.1909633511833783
5,10,current_is_starter_momentum_5_vs_10,0.19088812418336482,0.19088812418336482
6,1,bench_minutes_roll_30,0.26632287617411926,0.26632287617411926
6,2,starter_minutes_share_roll_30,-0.23810191598165917,0.23810191598165917
6,3,current_is_starter_roll_30,-0.22809474360379567,0.22809474360379567
6,4,effectiveFieldGoalPercentage_roll_10,-0.1872953678746797,0.1872953678746797
6,5,defensiveRating_roll_30,-0.18294948921970391,0.18294948921970391
6,6,defensiveRating_roll_10,-0.1807438332579954,0.1807438332579954
6,7,effectiveFieldGoalPercentage_roll_5,-0.1755034002426302,0.1755034002426302
6,8,offensiveRating_roll_10,-0.17311185390423134,0.17311185390423134
6,9,starter_minutes_std_30,-0.16474255959513573,0.16474255959513573
6,10,trueShootingPercentage_roll_5,-0.16312610938268576,0.16312610938268576
7,1,numMinutes_momentum_3_vs_10,0.3310925842585112,0.3310925842585112
7,2,numMinutes_momentum_5_vs_10,0.3210082968853194,0.3210082968853194
7,3,fantasy_points_momentum_3_vs_10,0.30092624091345355,0.30092624091345355
7,4,starter_minutes_momentum_10_vs_30,-0.24464854524854823,0.24464854524854823
7,5,current_is_starter_momentum_10_vs_30,-0.23988036757374917,0.23988036757374917
7,6,starter_minutes_momentum_3_vs_10,0.19298550015238694,0.19298550015238694
7,7,bench_minutes_std_30,-0.17043647750656385,0.17043647750656385
7,8,starter_minutes_momentum_5_vs_10,0.1701134967682065,0.1701134967682065
7,9,bench_minutes_roll_30,-0.16718337113332535,0.16718337113332535
7,10,numMinutes_momentum_10_vs_30,-0.16275556871771407,0.16275556871771407
8,1,pace_roll_30,0.45063644481463283,0.45063644481463283
8,2,pace_roll_10,0.4371364129835669,0.4371364129835669
8,3,pace_std_30,0.4346668074605902,0.4346668074605902
8,4,pace_roll_5,0.37835789072202985,0.37835789072202985
8,5,trueShootingPercentage_z_5_vs_30,0.15408459834415067,0.15408459834415067
8,6,trueShootingPercentage_roll_5,0.14359272296081615,0.14359272296081615
8,7,trueShootingPercentage_z_10_vs_30,0.14102195352585709,0.14102195352585709
8,8,playerImpactEstimate_roll_5,0.13965341615525795,0.13965341615525795
8,9,effectiveFieldGoalPercentage_roll_5,0.13734717544220962,0.13734717544220962
8,10,effectiveFieldGoalPercentage_roll_10,0.10890616910610124,0.10890616910610124
9,1,blocks_roll_10,0.3169870931157271,0.3169870931157271
9,2,blocks_roll_30,0.3063898345914585,0.3063898345914585
9,3,blocks_roll_5,0.3049563906458362,0.3049563906458362
9,4,blocks_std_30,0.2658173905972464,0.2658173905972464
9,5,defensiveRating_roll_10,-0.24861286410396632,0.24861286410396632
9,6,defensiveRating_roll_5,-0.23468640325267856,0.23468640325267856
9,7,defensiveRating_roll_30,-0.23238722710029452,0.23238722710029452
9,8,opp_pos_starter_count_roll_10,0.14832047900432255,0.14832047900432255
9,9,opp_pos_starter_count_roll_5,0.14832047900432252,0.14832047900432252
9,10,opp_pos_starter_count_roll_30,0.14832047900432246,0.14832047900432246
10,1,defensiveRating_roll_10,0.25531618325042243,0.25531618325042243
10,2,defensiveRating_roll_5,0.24100707099547405,0.24100707099547405
10,3,defensiveRating_roll_30,0.24065948018556135,0.24065948018556135
10,4,pace_roll_30,0.23105066448703207,0.23105066448703207
10,5,pace_std_30,0.22655534576712041,0.22655534576712041
10,6,pace_roll_10,0.22517988342594245,0.22517988342594245
10,7,playerImpactEstimate_roll_5,-0.22249428459439238,0.22249428459439238
10,8,pace_roll_5,0.1970074211281117,0.1970074211281117
10,9,playerImpactEstimate_roll_30,-0.19330638776224507,0.19330638776224507
