experiment,model,feature_set,n_features,n_pca_source_features,n_pca_components,pca_explained_variance_ratio_sum,train_mae,validation_mae,mae_gap,train_rmse,validation_rmse,rmse_gap,train_r2,validation_r2,r2_gap,overfitting_interpretation
broad_hgb_reference,hist_gradient_boosting,reference,484,0,0,,7.354056684040197,7.731508771004425,0.3774520869642277,9.36811243445491,9.90076184766369,0.5326494132087802,0.6029284571174601,0.5591423689619857,0.04378608815547447,Small gap with improved validation MAE = useful compression.
compact_scoring_plus_pca_30,hist_gradient_boosting,pre_lineup_compact_40_plus_scoring,75,100,30,0.9079994369538437,7.469243809604122,7.7479845764132085,0.27874076680908644,9.520423649268581,9.90753503243398,0.38711138316539895,0.5899119411128868,0.5585389746749083,0.03137296643797849,Small gap with improved validation MAE = useful compression.
compact_scoring_plus_pca_41,hist_gradient_boosting,pre_lineup_compact_40_plus_scoring,86,100,41,0.9519369260011116,7.4527995388218296,7.749075544425801,0.29627600560397127,9.49948552094648,9.903476470259719,0.4039909493132381,0.5917137589017605,0.5589005843051491,0.03281317459661137,Small gap with improved validation MAE = useful compression.
compact_scoring_plus_pca_30,ridge,pre_lineup_compact_40_plus_scoring,75,100,30,0.9079994369538437,7.712555665864955,7.751898844148483,0.03934317828352807,9.858114542658827,9.900597752263597,0.04248320960476981,0.5603042230342953,0.5591569824050635,0.0011472406292317716,Small gap with improved validation MAE = useful compression.
compact_scoring_plus_pca_20,ridge,pre_lineup_compact_40_plus_scoring,65,100,20,0.8322079469857311,7.715314622457488,7.752297510132782,0.03698288767529423,9.861522027432825,9.903931241489992,0.04240921405716769,0.5600002063590956,0.5588600724848105,0.001140133874285132,Small gap with improved validation MAE = useful compression.
compact_scoring_plus_pca_10,ridge,pre_lineup_compact_40_plus_scoring,55,100,10,0.6679441695299557,7.723319356233508,7.754614491818273,0.03129513558476571,9.87128984992491,9.90828820019102,0.03699835026610998,0.5591281364350428,0.5584718526617678,0.0006562837732749793,Small gap with improved validation MAE = useful compression.
compact_scoring_plus_pca_41,ridge,pre_lineup_compact_40_plus_scoring,86,100,41,0.9519369260011116,7.709114018568696,7.7563515401846965,0.047237521616000144,9.854068120405795,9.902713867732782,0.048645747326986566,0.5606651094125519,0.5589685141030725,0.0016965953094794095,Small gap with improved validation MAE = useful compression.
compact_scoring_plus_pca_20,hist_gradient_boosting,pre_lineup_compact_40_plus_scoring,65,100,20,0.8322079469857311,7.513088592794321,7.762020431927739,0.24893183913341765,9.574866020647757,9.922236342527315,0.3473703218795574,0.5852083684326335,0.5572278775058952,0.027980490926738266,Small gap with improved validation MAE = useful compression.
compact_scoring_plus_pca_10,hist_gradient_boosting,pre_lineup_compact_40_plus_scoring,55,100,10,0.6679441695299557,7.522906730921112,7.763282327554602,0.2403755966334904,9.587419104084098,9.917818183105737,0.3303990790216389,0.5841200342045292,0.5576221036101082,0.02649793059442096,Small gap with improved validation MAE = useful compression.
compact_scoring_hgb_reference,hist_gradient_boosting,reference,45,0,0,,7.490264565838786,7.781769330266231,0.29150476442744466,9.542915072046522,9.947804761804573,0.4048896897580505,0.5879720360864888,0.5549429954908913,0.033029040595597525,Small gap with worse validation MAE = underpowered or unhelpful features.
