feature,importance_type,importance,signed_value,rank,importance_std,validation_rows_sampled
starter_minutes_roll_10,ridge_abs_scaled_coef,4.6526084135134225,4.6526084135134225,1.0,,
bench_minutes_roll_10,ridge_abs_scaled_coef,4.353913917758022,4.353913917758022,2.0,,
current_is_starter_roll_10,ridge_abs_scaled_coef,3.1120092830657504,3.1120092830657504,3.0,,
ext_fieldGoalsAttempted_roll_10,ridge_abs_scaled_coef,2.9965527796255973,2.9965527796255973,4.0,,
ext_fieldGoalsMade_roll_10,ridge_abs_scaled_coef,2.1005191561646055,2.1005191561646055,5.0,,
starter_minutes_share_roll_10,ridge_abs_scaled_coef,1.913970328627571,-1.913970328627571,6.0,,
ext_percentPoints3Point_roll_10,ridge_abs_scaled_coef,1.8991039872900866,1.8991039872900866,7.0,,
ext_percentPointsInPaint_roll_10,ridge_abs_scaled_coef,1.6030728900398477,1.6030728900398477,8.0,,
ext_reboundsDefensive_roll_10,ridge_abs_scaled_coef,1.5707550314210244,1.5707550314210244,9.0,,
profile_weight_lbs,ridge_abs_scaled_coef,1.3288139472806357,1.3288139472806357,10.0,,
numMinutes_roll_10,ridge_abs_scaled_coef,1.3031709830772797,-1.3031709830772797,11.0,,
ext_percentPointsFreeThrow_roll_10,ridge_abs_scaled_coef,1.2007711433983135,1.2007711433983135,12.0,,
ext_estimatedTurnoverPercentage_roll_10,ridge_abs_scaled_coef,1.1724090286595428,-1.1724090286595428,13.0,,
ext_teamTurnoverPercentage_roll_10,ridge_abs_scaled_coef,1.1033836925705667,1.1033836925705667,14.0,,
ext_freeThrowsMade_roll_10,ridge_abs_scaled_coef,0.9899518446127292,0.9899518446127292,15.0,,
ext_foulsAgainst_roll_10,ridge_abs_scaled_coef,0.9196769428483804,0.9196769428483804,16.0,,
team_score_roll_10,ridge_abs_scaled_coef,0.8973528780943106,-0.8973528780943106,17.0,,
team_estimatedDefensiveRating_roll_10,ridge_abs_scaled_coef,0.868381988601102,0.868381988601102,18.0,,
team_offensiveRating_roll_10,ridge_abs_scaled_coef,0.8666191546040664,0.8666191546040664,19.0,,
profile_bmi,ridge_abs_scaled_coef,0.81234352355358,-0.81234352355358,20.0,,
ext_percentTeamBlocks_roll_10,ridge_abs_scaled_coef,0.7826386917497246,0.7826386917497246,21.0,,
profile_years_since_draft,ridge_abs_scaled_coef,0.7460651843467723,-0.7460651843467723,22.0,,
ext_assistPercentage_roll_10,ridge_abs_scaled_coef,0.6976645521598399,0.6976645521598399,23.0,,
profile_height_inches,ridge_abs_scaled_coef,0.6772364077259476,-0.6772364077259476,24.0,,
ext_assistToTurnoverRatio_roll_10,ridge_abs_scaled_coef,0.6371203455931151,0.6371203455931151,25.0,,
team_fieldGoalsPercentage_roll_10,ridge_abs_scaled_coef,0.6135103592314309,-0.6135103592314309,26.0,,
ext_threePointersMade_roll_10,ridge_abs_scaled_coef,0.6104908082588295,-0.6104908082588295,27.0,,
team_defensiveRating_roll_10,ridge_abs_scaled_coef,0.5580954720655321,-0.5580954720655321,28.0,,
ext_percentFieldGoalAttempts3Point_roll_10,ridge_abs_scaled_coef,0.5511663888208098,-0.5511663888208098,29.0,,
ext_percentPoints2PointMidRange_roll_10,ridge_abs_scaled_coef,0.4918594910527145,0.4918594910527145,30.0,,
ext_doubleDouble_roll_10,ridge_abs_scaled_coef,0.48725149398008677,0.48725149398008677,31.0,,
ext_percentAssistedFieldGoalsMade_roll_10,ridge_abs_scaled_coef,0.48386201146050223,-0.48386201146050223,32.0,,
ext_percentTeamDefensiveRebounds_roll_10,ridge_abs_scaled_coef,0.47959354351776945,0.47959354351776945,33.0,,
days_since_last_game,ridge_abs_scaled_coef,0.4586818503437596,-0.4586818503437596,34.0,,
ext_defensiveReboundPercentage_roll_10,ridge_abs_scaled_coef,0.44129843450817513,-0.44129843450817513,35.0,,
profile_draft_number,ridge_abs_scaled_coef,0.40090530979783395,-0.40090530979783395,36.0,,
fieldGoalsPercentage_roll_10,ridge_abs_scaled_coef,0.39454428120489493,0.39454428120489493,37.0,,
ext_blocksAgainst_roll_10,ridge_abs_scaled_coef,0.3871212199184145,-0.3871212199184145,38.0,,
profile_draft_year,ridge_abs_scaled_coef,0.36278464513833164,-0.36278464513833164,39.0,,
ext_percentUnassisted3PointMade_roll_10,ridge_abs_scaled_coef,0.34598915947802217,0.34598915947802217,40.0,,
ext_percentFieldGoalAttempts2Point_roll_10,ridge_abs_scaled_coef,0.33620274767131964,-0.33620274767131964,41.0,,
opp_pace_roll_10,ridge_abs_scaled_coef,0.32629463077842696,0.32629463077842696,42.0,,
team_effectiveFieldGoalPercentage_roll_10,ridge_abs_scaled_coef,0.3196110179369862,0.3196110179369862,43.0,,
ext_percentTeamSteals_roll_10,ridge_abs_scaled_coef,0.315612706183641,0.315612706183641,44.0,,
team_pace_roll_10,ridge_abs_scaled_coef,0.3121996804836813,0.3121996804836813,45.0,,
ext_tripleDouble_roll_10,ridge_abs_scaled_coef,0.30605259100587584,0.30605259100587584,46.0,,
opp_defensiveRating_roll_10,ridge_abs_scaled_coef,0.2963060866966627,0.2963060866966627,47.0,,
ext_percentUnassistedFieldGoalsMade_roll_10,ridge_abs_scaled_coef,0.2746375194710583,-0.2746375194710583,48.0,,
ext_percentTeamFreeThrowsAttempted_roll_10,ridge_abs_scaled_coef,0.27376258084156757,-0.27376258084156757,49.0,,
ext_pointsInPaint_roll_10,ridge_abs_scaled_coef,0.2522807956171625,-0.2522807956171625,50.0,,
ext_percentTeamFreeThrowsMade_roll_10,ridge_abs_scaled_coef,0.24410184041086413,0.24410184041086413,51.0,,
ext_percentAssisted3PointMade_roll_10,ridge_abs_scaled_coef,0.24205968197819488,-0.24205968197819488,52.0,,
is_back_to_back,ridge_abs_scaled_coef,0.2407347641633857,0.2407347641633857,53.0,,
opp_points_allowed_roll_10,ridge_abs_scaled_coef,0.23455096348150853,-0.23455096348150853,54.0,,
opp_trueShootingPercentage_allowed_roll_10,ridge_abs_scaled_coef,0.21864583130744433,-0.21864583130744433,55.0,,
ext_reboundsOffensive_roll_10,ridge_abs_scaled_coef,0.2098690277383817,0.2098690277383817,56.0,,
ext_percentTeamThreePointersAttempted_roll_10,ridge_abs_scaled_coef,0.20599727734286014,0.20599727734286014,57.0,,
team_pointsSecondChance_roll_10,ridge_abs_scaled_coef,0.19341760105536945,-0.19341760105536945,58.0,,
team_blocks_roll_10,ridge_abs_scaled_coef,0.19040997859707373,0.19040997859707373,59.0,,
ext_percentTeamFieldGoalsMade_roll_10,ridge_abs_scaled_coef,0.187441423393486,-0.187441423393486,60.0,,
ext_plusMinusPoints_roll_10,ridge_abs_scaled_coef,0.18674983201400094,0.18674983201400094,61.0,,
ext_percentTeamTurnovers_roll_10,ridge_abs_scaled_coef,0.18646312674238813,0.18646312674238813,62.0,,
ext_assistRatio_roll_10,ridge_abs_scaled_coef,0.17118576370617183,0.17118576370617183,63.0,,
estimatedDefensiveRating_roll_10,ridge_abs_scaled_coef,0.17054999192661374,0.17054999192661374,64.0,,
trueShootingPercentage_roll_10,ridge_abs_scaled_coef,0.16438149780949352,-0.16438149780949352,65.0,,
ext_possessions_roll_10,ridge_abs_scaled_coef,0.16150548166343148,-0.16150548166343148,66.0,,
ext_netRating_roll_10,ridge_abs_scaled_coef,0.1611039922104336,0.1611039922104336,67.0,,
opp_effectiveFieldGoalPercentage_allowed_roll_10,ridge_abs_scaled_coef,0.16017216604338108,0.16017216604338108,68.0,,
team_assists_roll_10,ridge_abs_scaled_coef,0.15839754192990396,0.15839754192990396,69.0,,
ext_estimatedUsagePercentage_roll_10,ridge_abs_scaled_coef,0.14609324244444646,0.14609324244444646,70.0,,
home,ridge_abs_scaled_coef,0.1456761422120039,0.1456761422120039,71.0,,
ext_percentTeamAssists_roll_10,ridge_abs_scaled_coef,0.14251551639282561,-0.14251551639282561,72.0,,
ext_percentTeamFoulsPersonal_roll_10,ridge_abs_scaled_coef,0.13978940684669383,-0.13978940684669383,73.0,,
opp_pointsSecondChance_allowed_roll_10,ridge_abs_scaled_coef,0.1392978160996376,0.1392978160996376,74.0,,
ext_pointsFastBreak_roll_10,ridge_abs_scaled_coef,0.13900167131316574,0.13900167131316574,75.0,,
team_points_allowed_roll_10,ridge_abs_scaled_coef,0.13520251315408255,-0.13520251315408255,76.0,,
offensiveRating_roll_10,ridge_abs_scaled_coef,0.13260510628634348,-0.13260510628634348,77.0,,
ext_spWorkOffensiveRating_roll_10,ridge_abs_scaled_coef,0.13260510628224456,-0.13260510628224456,78.0,,
team_threePointersPercentage_roll_10,ridge_abs_scaled_coef,0.12569833166734382,-0.12569833166734382,79.0,,
team_steals_roll_10,ridge_abs_scaled_coef,0.1186185201412048,0.1186185201412048,80.0,,
ext_percentTeamFoulsDrawn_roll_10,ridge_abs_scaled_coef,0.11820468192257065,-0.11820468192257065,81.0,,
team_pointsFromTurnovers_roll_10,ridge_abs_scaled_coef,0.11152042448510308,-0.11152042448510308,82.0,,
usagePercentage_roll_10,ridge_abs_scaled_coef,0.10871157299307027,0.10871157299307027,83.0,,
playerImpactEstimate_roll_10,ridge_abs_scaled_coef,0.10666665569540051,-0.10666665569540051,84.0,,
