feature_set,position,feature
profile_extended_driver_10,1,player_age_years
profile_extended_driver_10,2,profile_birthdate_missing
profile_extended_driver_10,3,profile_height_inches
profile_extended_driver_10,4,profile_weight_lbs
profile_extended_driver_10,5,profile_bmi
profile_extended_driver_10,6,profile_draft_year
profile_extended_driver_10,7,profile_draft_round
profile_extended_driver_10,8,profile_draft_number
profile_extended_driver_10,9,profile_years_since_draft
profile_extended_driver_10,10,profile_draft_round_missing
profile_extended_driver_10,11,profile_draft_number_missing
profile_extended_driver_10,12,home
profile_extended_driver_10,13,days_since_last_game
profile_extended_driver_10,14,is_back_to_back
profile_extended_driver_10,15,current_is_starter_roll_10
profile_extended_driver_10,16,starter_minutes_roll_10
profile_extended_driver_10,17,bench_minutes_roll_10
profile_extended_driver_10,18,numMinutes_roll_10
profile_extended_driver_10,19,usagePercentage_roll_10
profile_extended_driver_10,20,trueShootingPercentage_roll_10
profile_extended_driver_10,21,effectiveFieldGoalPercentage_roll_10
profile_extended_driver_10,22,fieldGoalsPercentage_roll_10
profile_extended_driver_10,23,threePointersPercentage_roll_10
profile_extended_driver_10,24,freeThrowsPercentage_roll_10
profile_extended_driver_10,25,playerImpactEstimate_roll_10
profile_extended_driver_10,26,offensiveRating_roll_10
profile_extended_driver_10,27,defensiveRating_roll_10
profile_extended_driver_10,28,estimatedDefensiveRating_roll_10
profile_extended_driver_10,29,pace_roll_10
profile_extended_driver_10,30,starter_minutes_share_roll_10
profile_extended_driver_10,31,team_win_roll_10
profile_extended_driver_10,32,team_score_roll_10
profile_extended_driver_10,33,team_points_allowed_roll_10
profile_extended_driver_10,34,team_pace_roll_10
profile_extended_driver_10,35,team_offensiveRating_roll_10
profile_extended_driver_10,36,team_defensiveRating_roll_10
profile_extended_driver_10,37,team_estimatedDefensiveRating_roll_10
profile_extended_driver_10,38,team_fieldGoalsPercentage_roll_10
profile_extended_driver_10,39,team_threePointersPercentage_roll_10
profile_extended_driver_10,40,team_effectiveFieldGoalPercentage_roll_10
profile_extended_driver_10,41,team_trueShootingPercentage_roll_10
profile_extended_driver_10,42,team_assists_roll_10
profile_extended_driver_10,43,team_reboundsTotal_roll_10
profile_extended_driver_10,44,team_steals_roll_10
profile_extended_driver_10,45,team_blocks_roll_10
profile_extended_driver_10,46,team_turnovers_roll_10
profile_extended_driver_10,47,team_pointsInThePaint_roll_10
profile_extended_driver_10,48,team_pointsFastBreak_roll_10
profile_extended_driver_10,49,team_pointsSecondChance_roll_10
profile_extended_driver_10,50,team_pointsFromTurnovers_roll_10
profile_extended_driver_10,51,opp_win_roll_10
profile_extended_driver_10,52,opp_points_allowed_roll_10
profile_extended_driver_10,53,opp_pace_roll_10
profile_extended_driver_10,54,opp_defensiveRating_roll_10
profile_extended_driver_10,55,opp_estimatedDefensiveRating_roll_10
profile_extended_driver_10,56,opp_fieldGoalsPercentage_allowed_roll_10
profile_extended_driver_10,57,opp_effectiveFieldGoalPercentage_allowed_roll_10
profile_extended_driver_10,58,opp_trueShootingPercentage_allowed_roll_10
profile_extended_driver_10,59,opp_rebounds_allowed_roll_10
profile_extended_driver_10,60,opp_assists_allowed_roll_10
profile_extended_driver_10,61,opp_steals_roll_10
profile_extended_driver_10,62,opp_blocks_roll_10
profile_extended_driver_10,63,opp_turnovers_forced_roll_10
profile_extended_driver_10,64,opp_pointsInThePaint_allowed_roll_10
profile_extended_driver_10,65,opp_pointsFastBreak_allowed_roll_10
profile_extended_driver_10,66,opp_pointsSecondChance_allowed_roll_10
profile_extended_driver_10,67,opp_pointsFromTurnovers_allowed_roll_10
profile_extended_driver_10,68,opp_pos_minutes_allowed_roll_10
profile_extended_driver_10,69,opp_pos_player_count_roll_10
profile_extended_driver_10,70,opp_pos_starter_count_roll_10
profile_extended_driver_10,71,ext_win_roll_10
profile_extended_driver_10,72,ext_home_roll_10
profile_extended_driver_10,73,ext_reboundsOffensive_roll_10
profile_extended_driver_10,74,ext_reboundsDefensive_roll_10
profile_extended_driver_10,75,ext_fieldGoalsMade_roll_10
profile_extended_driver_10,76,ext_fieldGoalsAttempted_roll_10
profile_extended_driver_10,77,ext_threePointersMade_roll_10
profile_extended_driver_10,78,ext_threePointersAttempted_roll_10
profile_extended_driver_10,79,ext_freeThrowsMade_roll_10
profile_extended_driver_10,80,ext_freeThrowsAttempted_roll_10
profile_extended_driver_10,81,ext_blocksAgainst_roll_10
profile_extended_driver_10,82,ext_foulsPersonal_roll_10
profile_extended_driver_10,83,ext_foulsAgainst_roll_10
profile_extended_driver_10,84,ext_plusMinusPoints_roll_10
profile_extended_driver_10,85,ext_doubleDouble_roll_10
profile_extended_driver_10,86,ext_tripleDouble_roll_10
profile_extended_driver_10,87,ext_estimatedOffensiveRating_roll_10
profile_extended_driver_10,88,ext_spWorkOffensiveRating_roll_10
profile_extended_driver_10,89,ext_spWorkDefensiveRating_roll_10
profile_extended_driver_10,90,ext_estimatedNetRating_roll_10
profile_extended_driver_10,91,ext_netRating_roll_10
profile_extended_driver_10,92,ext_assistPercentage_roll_10
profile_extended_driver_10,93,ext_assistToTurnoverRatio_roll_10
profile_extended_driver_10,94,ext_assistRatio_roll_10
profile_extended_driver_10,95,ext_offensiveReboundPercentage_roll_10
profile_extended_driver_10,96,ext_defensiveReboundPercentage_roll_10
profile_extended_driver_10,97,ext_reboundPercentage_roll_10
profile_extended_driver_10,98,ext_teamTurnoverPercentage_roll_10
profile_extended_driver_10,99,ext_estimatedTurnoverPercentage_roll_10
profile_extended_driver_10,100,ext_estimatedUsagePercentage_roll_10
profile_extended_driver_10,101,ext_estimatedPace_roll_10
profile_extended_driver_10,102,ext_pacePer40_roll_10
profile_extended_driver_10,103,ext_spWorkPace_roll_10
profile_extended_driver_10,104,ext_possessions_roll_10
profile_extended_driver_10,105,ext_pointsOffTurnovers_roll_10
profile_extended_driver_10,106,ext_pointsSecondChance_roll_10
profile_extended_driver_10,107,ext_pointsFastBreak_roll_10
profile_extended_driver_10,108,ext_pointsInPaint_roll_10
profile_extended_driver_10,109,ext_opponentPointsOffTurnovers_roll_10
profile_extended_driver_10,110,ext_opponentPointsSecondChance_roll_10
profile_extended_driver_10,111,ext_opponentPointsFastBreak_roll_10
profile_extended_driver_10,112,ext_opponentPointsInPaint_roll_10
profile_extended_driver_10,113,ext_percentFieldGoalAttempts2Point_roll_10
profile_extended_driver_10,114,ext_percentFieldGoalAttempts3Point_roll_10
profile_extended_driver_10,115,ext_percentPoints2Point_roll_10
profile_extended_driver_10,116,ext_percentPoints2PointMidRange_roll_10
profile_extended_driver_10,117,ext_percentPoints3Point_roll_10
profile_extended_driver_10,118,ext_percentPointsFastBreak_roll_10
profile_extended_driver_10,119,ext_percentPointsFreeThrow_roll_10
profile_extended_driver_10,120,ext_percentPointsOffTurnovers_roll_10
profile_extended_driver_10,121,ext_percentPointsInPaint_roll_10
profile_extended_driver_10,122,ext_percentAssisted2PointMade_roll_10
profile_extended_driver_10,123,ext_percentUnassisted2PointMade_roll_10
profile_extended_driver_10,124,ext_percentAssisted3PointMade_roll_10
profile_extended_driver_10,125,ext_percentUnassisted3PointMade_roll_10
profile_extended_driver_10,126,ext_percentAssistedFieldGoalsMade_roll_10
profile_extended_driver_10,127,ext_percentUnassistedFieldGoalsMade_roll_10
profile_extended_driver_10,128,ext_percentTeamFieldGoalsMade_roll_10
profile_extended_driver_10,129,ext_percentTeamFieldGoalsAttempted_roll_10
profile_extended_driver_10,130,ext_percentTeamThreePointersMade_roll_10
profile_extended_driver_10,131,ext_percentTeamThreePointersAttempted_roll_10
profile_extended_driver_10,132,ext_percentTeamFreeThrowsMade_roll_10
profile_extended_driver_10,133,ext_percentTeamFreeThrowsAttempted_roll_10
profile_extended_driver_10,134,ext_percentTeamOffensiveRebounds_roll_10
profile_extended_driver_10,135,ext_percentTeamDefensiveRebounds_roll_10
profile_extended_driver_10,136,ext_percentTeamRebounds_roll_10
profile_extended_driver_10,137,ext_percentTeamAssists_roll_10
profile_extended_driver_10,138,ext_percentTeamTurnovers_roll_10
profile_extended_driver_10,139,ext_percentTeamSteals_roll_10
profile_extended_driver_10,140,ext_percentTeamBlocks_roll_10
profile_extended_driver_10,141,ext_percentTeamBlocksAgainst_roll_10
profile_extended_driver_10,142,ext_percentTeamFoulsPersonal_roll_10
profile_extended_driver_10,143,ext_percentTeamFoulsDrawn_roll_10
profile_extended_driver_10,144,ext_percentTeamPoints_roll_10
