feature,source,kept,drop_reason
numMinutes_roll_10,existing_modeling_table,True,duplicate rolling feature already existed; reused existing column
fieldGoalsPercentage_roll_10,existing_modeling_table,True,duplicate rolling feature already existed; reused existing column
threePointersPercentage_roll_10,existing_modeling_table,True,duplicate rolling feature already existed; reused existing column
freeThrowsPercentage_roll_10,existing_modeling_table,True,duplicate rolling feature already existed; reused existing column
offensiveRating_roll_10,existing_modeling_table,True,duplicate rolling feature already existed; reused existing column
estimatedDefensiveRating_roll_10,existing_modeling_table,True,duplicate rolling feature already existed; reused existing column
defensiveRating_roll_10,existing_modeling_table,True,duplicate rolling feature already existed; reused existing column
effectiveFieldGoalPercentage_roll_10,existing_modeling_table,True,duplicate rolling feature already existed; reused existing column
trueShootingPercentage_roll_10,existing_modeling_table,True,duplicate rolling feature already existed; reused existing column
usagePercentage_roll_10,existing_modeling_table,True,duplicate rolling feature already existed; reused existing column
pace_roll_10,existing_modeling_table,True,duplicate rolling feature already existed; reused existing column
playerImpactEstimate_roll_10,existing_modeling_table,True,duplicate rolling feature already existed; reused existing column
player_age_years,profile/extended/context,True,kept for profile_extended_driver_10
profile_birthdate_missing,profile/extended/context,True,kept for profile_extended_driver_10
profile_height_inches,profile/extended/context,True,kept for profile_extended_driver_10
profile_weight_lbs,profile/extended/context,True,kept for profile_extended_driver_10
profile_height_missing,candidate_feature,False,duplicate values of profile_birthdate_missing
profile_weight_missing,candidate_feature,False,duplicate values of profile_birthdate_missing
profile_bmi,profile/extended/context,True,kept for profile_extended_driver_10
profile_draft_year,profile/extended/context,True,kept for profile_extended_driver_10
profile_draft_round,profile/extended/context,True,kept for profile_extended_driver_10
profile_draft_number,profile/extended/context,True,kept for profile_extended_driver_10
profile_years_since_draft,profile/extended/context,True,kept for profile_extended_driver_10
profile_draft_missing,candidate_feature,False,duplicate values of profile_birthdate_missing
profile_draft_round_missing,profile/extended/context,True,kept for profile_extended_driver_10
profile_draft_number_missing,profile/extended/context,True,kept for profile_extended_driver_10
home,profile/extended/context,True,kept for profile_extended_driver_10
days_since_last_game,profile/extended/context,True,kept for profile_extended_driver_10
is_back_to_back,profile/extended/context,True,kept for profile_extended_driver_10
current_is_starter_roll_10,profile/extended/context,True,kept for profile_extended_driver_10
starter_minutes_roll_10,profile/extended/context,True,kept for profile_extended_driver_10
bench_minutes_roll_10,profile/extended/context,True,kept for profile_extended_driver_10
numMinutes_roll_10,profile/extended/context,True,kept for profile_extended_driver_10
usagePercentage_roll_10,profile/extended/context,True,kept for profile_extended_driver_10
trueShootingPercentage_roll_10,profile/extended/context,True,kept for profile_extended_driver_10
effectiveFieldGoalPercentage_roll_10,profile/extended/context,True,kept for profile_extended_driver_10
