table_name,file_name,file_type,exists,row_count,column_count,size_mb,suspected_keys,sample_columns,load_error
Games,Games.csv,csv,True,,23,10.684,"game:gameId, date:gameDate, date:gameDateTimeEst","gameId, gameDateTimeEst, hometeamCity, hometeamName, hometeamId, awayteamCity, awayteamName, awayteamId, homeScore, awayScore, winner, gameType, gameSubtype, gameLabel, gameSubLabel, seriesGameNumber, attendance, arenaId, arenaName, arenaCity",
LeagueSchedule24_25,LeagueSchedule24_25.csv,csv,True,,15,0.14,"game:gameId, date:gameDateTimeEst","gameId, gameDateTimeEst, gameDay, arenaCity, arenaState, arenaName, gameLabel, gameSubLabel, gameSubtype, gameSequence, seriesGameNumber, seriesText, weekNumber, hometeamId, awayteamId",
LeagueSchedule25_26,LeagueSchedule25_26.csv,csv,True,,17,0.179,"game:gameId, date:gameDateTimeEst","gameId, gameDateTimeEst, gameDay, homeTeamId, awayTeamId, homeTeamName, homeTeamCity, awayTeamName, awayTeamCity, arenaName, arenaCity, arenaState, gameLabel, gameSubLabel, gameSubtype, seriesGameNumber, weekNumber",
PlayByPlay,PlayByPlay.parquet,parquet,True,18713301,89,889.259,"game:gameId, player:personId, team:teamId, opponent:opponentteamId, date:gameDateTimeEst","clock, actionType, description, playerFullName, teamTricode, gameId, gameDateTimeEst, periodType, period, shortFormattedClock, timeActual, actionNumber, orderNumber, actionId, teamId, side, location, playerteamCity, playerteamName, opponentteamCity",
Players,Players.csv,csv,True,,20,0.5,player:personId,"personId, firstName, lastName, birthDate, school, country, heightInches, bodyWeightLbs, jersey, guard, forward, center, dleagueFlag, nbaFlag, gamesPlayedFlag, draftYear, draftRound, draftNumber, fromYear, toYear",
PlayerStatistics,PlayerStatistics.csv,csv,True,,40,371.467,"game:gameId, player:personId, opponent:opponentteamId, date:gameDate, date:gameDateTimeEst","firstName, lastName, personId, gameId, gameDateTimeEst, playerteamCity, playerteamName, opponentteamCity, opponentteamName, gameType, gameLabel, gameSubLabel, seriesGameNumber, win, home, numMinutes, points, assists, blocks, steals",
PlayerStatisticsExtended,PlayerStatisticsExtended.csv,csv,True,,110,432.047,"game:gameId, player:personId, opponent:opponentteamId, date:gameDateTimeEst","firstName, lastName, personId, gameId, gameDateTimeEst, gameType, gameLabel, gameSubLabel, seriesGameNumber, win, home, playerteamId, playerteamCity, playerteamName, opponentteamId, opponentteamCity, opponentteamName, comment, startingPosition, numMinutes",
TeamHistories,TeamHistories.csv,csv,True,,7,0.007,team:teamId,"teamId, teamCity, teamName, teamAbbrev, seasonFounded, seasonActiveTill, league",
TeamStatistics,TeamStatistics.csv,csv,True,,59,34.339,"game:gameId, team:teamId, opponent:opponentTeamId, date:gameDate, date:gameDateTimeEst","gameId, gameDateTimeEst, teamCity, teamName, teamId, opponentTeamCity, opponentTeamName, opponentTeamId, home, win, teamScore, opponentScore, assists, blocks, steals, fieldGoalsAttempted, fieldGoalsMade, fieldGoalsPercentage, threePointersAttempted, threePointersMade",
TeamStatisticsExtended,TeamStatisticsExtended.csv,csv,True,,104,36.396,"game:gameId, team:teamId, opponent:opponentTeamId, date:gameDateTimeEst","gameId, gameDateTimeEst, gameType, gameLabel, gameSubLabel, seriesGameNumber, teamId, teamCity, teamName, opponentTeamId, opponentTeamCity, opponentTeamName, home, win, teamScore, opponentScore, seed, numMinutes, assists, steals",
