feature_set,model,segment,segment_value,rows,mae,rmse,mean_error,target_mean,prediction_mean
replication_11_safe,hist_gradient_boosting,starter_label,Bench,13932,6.98849586944593,8.77273311946031,-1.1018947690211534,13.49198966408269,14.59388443310384
replication_11_safe,hist_gradient_boosting,starter_label,Starter,12230,8.788074284001336,11.23355481429705,1.4179818352272064,31.098413736713,29.680431901485797
replication_11_safe,ridge,starter_label,Bench,13932,7.046699556381643,8.88073696676978,-1.2844907438040811,13.49198966408269,14.776480407886766
replication_11_safe,ridge,starter_label,Starter,12230,8.777964741008121,11.19905509586277,1.3448046762582926,31.098413736713,29.753609060454707
replication_11_safe_recent_starter,hist_gradient_boosting,starter_label,Bench,13932,6.979230792306939,8.761940353322203,-0.9929789625401106,13.49198966408269,14.484968626622798
replication_11_safe_recent_starter,hist_gradient_boosting,starter_label,Starter,12230,8.773473056023146,11.197899416294709,1.3100162782282885,31.098413736713,29.788397458484713
replication_11_safe_recent_starter,ridge,starter_label,Bench,13932,7.040391514678933,8.872561104415448,-1.2385339410761558,13.49198966408269,14.730523605158842
replication_11_safe_recent_starter,ridge,starter_label,Starter,12230,8.771738714190487,11.18472608636832,1.205011894352298,31.098413736713,29.893401842360703
replication_11_safe,hist_gradient_boosting,primary_position,Center,5133,8.302617576279946,10.655618822965803,0.660574134277422,24.577459575297098,23.916885441019673
replication_11_safe,hist_gradient_boosting,primary_position,Forward,10282,7.529761510784449,9.605822774593625,-0.10679405113155845,20.26333398171562,20.37012803284718
replication_11_safe,hist_gradient_boosting,primary_position,Guard,10747,7.890902491255825,10.043196669218394,-0.028133495364780527,21.75493626128222,21.783069756647
replication_11_safe,ridge,primary_position,Center,5133,8.312100652720526,10.642558751257482,0.4225721313672271,24.577459575297098,24.15488744392987
replication_11_safe,ridge,primary_position,Forward,10282,7.567107492548527,9.655063674119189,-0.2295413472271455,20.26333398171562,20.492875328942763
replication_11_safe,ridge,primary_position,Guard,10747,7.914591524447749,10.083761739668864,-0.11700776683334932,21.75493626128222,21.871944028115568
replication_11_safe_recent_starter,hist_gradient_boosting,primary_position,Center,5133,8.294766795742508,10.62501125661264,0.6646294483085063,24.577459575297098,23.91283012698859
replication_11_safe_recent_starter,hist_gradient_boosting,primary_position,Forward,10282,7.523353937968708,9.587385550385875,-0.1098599277035636,20.26333398171562,20.373193909419186
replication_11_safe_recent_starter,hist_gradient_boosting,primary_position,Guard,10747,7.8721555523255615,10.017981510034502,-0.00880683026857484,21.75493626128222,21.763743091550793
replication_11_safe_recent_starter,ridge,primary_position,Center,5133,8.308531469612964,10.63263897921113,0.3751359136157774,24.577459575297098,24.20232366168132
replication_11_safe_recent_starter,ridge,primary_position,Forward,10282,7.562135501760511,9.643957616074832,-0.2694566912101685,20.26333398171562,20.53279067292579
replication_11_safe_recent_starter,ridge,primary_position,Guard,10747,7.905790434021737,10.071492000559749,-0.15566933513643186,21.75493626128222,21.91060559641865
replication_11_safe,hist_gradient_boosting,minutes_bucket,0-5,2312,7.062207065570469,8.275415258538255,-6.893471514531661,1.9526816608996542,8.846153175431313
replication_11_safe,hist_gradient_boosting,minutes_bucket,5-15,4413,6.585570699587447,8.348054751395354,-4.52595413264507,8.482256968048947,13.008211100694016
replication_11_safe,hist_gradient_boosting,minutes_bucket,15-25,7502,7.171430740640583,9.080599944328702,-0.7287669524883317,17.866009064249532,18.594776016737864
replication_11_safe,hist_gradient_boosting,minutes_bucket,25-35,8491,8.376321634576176,10.621149952497518,2.4562802021254697,29.60623012601578,27.14994992389031
replication_11_safe,hist_gradient_boosting,minutes_bucket,35+,3444,10.025698692830062,12.901259198072724,6.536584243062142,40.92331591173055,34.3867316686684
replication_11_safe,ridge,minutes_bucket,0-5,2312,7.050800296927858,8.581815064978406,-6.773372294746923,1.9526816608996542,8.726053955646579
replication_11_safe,ridge,minutes_bucket,5-15,4413,6.779846665160651,8.575212476925262,-4.6957019441699135,8.482256968048947,13.177958912218859
replication_11_safe,ridge,minutes_bucket,15-25,7502,7.1941926918754175,9.07787770066876,-0.962208650295282,17.866009064249532,18.828217714544817
replication_11_safe,ridge,minutes_bucket,25-35,8491,8.35644018163907,10.5959280467961,2.3780428356565695,29.60623012601578,27.22818729035921
replication_11_safe,ridge,minutes_bucket,35+,3444,9.983404827363676,12.823453236902076,6.376345281647054,40.92331591173055,34.54697063008349
