feature_set,model,n_features,train_rows,validation_rows,fit_predict_seconds,mae,rmse,r2,mean_error,median_absolute_error
pre_lineup_player_team_opp,hist_gradient_boosting,486,76937,26162,49.725,7.731508771004425,9.90076184766369,0.5591423689619857,0.16318592404231144,6.3361685195703075
pre_lineup_player_team_opp,ridge,486,76937,26162,24.617,7.747664265330848,9.91228551756075,0.5581155279140666,-0.018881828160305907,6.387146606912637
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,45,76937,26162,3.589,7.781769330266231,9.947804761804573,0.5549429954908913,0.0459036357954364,6.415698066076466
pre_lineup_compact_40,hist_gradient_boosting,40,76937,26162,3.514,7.783238313305904,9.948584341220883,0.554873237210928,0.03628317174215598,6.432806886551582
pre_lineup_compact_40_plus_scoring,ridge,45,76937,26162,0.679,7.800043277813897,9.954067511352719,0.5543824380609528,-0.1476578925483535,6.4597815223117125
pre_lineup_compact_40,ridge,40,76937,26162,0.603,7.801773595516416,9.955278096362422,0.5542740420221297,-0.14982307564720804,6.454570741092796
pre_lineup_baseline,ridge,4,76937,26162,0.085,7.908808852087388,10.093485733830743,0.5418122420067852,0.04349640157480809,6.573926153798535
pre_lineup_baseline,hist_gradient_boosting,4,76937,26162,0.77,7.930102769332085,10.091192149452592,0.5420204501347619,-0.002998965709350243,6.618359677616333
pre_lineup_baseline,rolling_fp_10_baseline,4,76937,26162,0.001,7.985892229237604,10.269157516886636,0.5257244183831462,0.08323525050052082,6.52
pre_lineup_player_team_opp,rolling_fp_10_baseline,486,76937,26162,0.0,7.985892229237604,10.269157516886636,0.5257244183831462,0.08323525050052082,6.52
pre_lineup_compact_40,rolling_fp_10_baseline,40,76937,26162,0.0,7.985892229237604,10.269157516886636,0.5257244183831462,0.08323525050052082,6.52
pre_lineup_compact_40_plus_scoring,rolling_fp_10_baseline,45,76937,26162,0.0,7.985892229237604,10.269157516886636,0.5257244183831462,0.08323525050052082,6.52
pre_lineup_baseline,rolling_fp_30_baseline,4,76937,26162,0.0,8.070336528632408,10.334361359732139,0.519682487870025,0.21228026901910854,6.623333333333333
pre_lineup_player_team_opp,rolling_fp_30_baseline,486,76937,26162,0.001,8.070336528632408,10.334361359732139,0.519682487870025,0.21228026901910854,6.623333333333333
pre_lineup_compact_40,rolling_fp_30_baseline,40,76937,26162,0.001,8.070336528632408,10.334361359732139,0.519682487870025,0.21228026901910854,6.623333333333333
pre_lineup_compact_40_plus_scoring,rolling_fp_30_baseline,45,76937,26162,0.0,8.070336528632408,10.334361359732139,0.519682487870025,0.21228026901910854,6.623333333333333
pre_lineup_baseline,mean_baseline,4,76937,26162,0.0,12.07319291129871,14.913769618835016,-0.0003131876713033943,0.26388928817552987,10.758608991772487
pre_lineup_player_team_opp,mean_baseline,486,76937,26162,0.0,12.07319291129871,14.913769618835016,-0.0003131876713033943,0.26388928817552987,10.758608991772487
pre_lineup_compact_40,mean_baseline,40,76937,26162,0.0,12.07319291129871,14.913769618835016,-0.0003131876713033943,0.26388928817552987,10.758608991772487
pre_lineup_compact_40_plus_scoring,mean_baseline,45,76937,26162,0.0,12.07319291129871,14.913769618835016,-0.0003131876713033943,0.26388928817552987,10.758608991772487
