table_name,file_name,column,dtype,row_count,profiled_rows,missing_count,missing_pct_profiled,unique_count_profiled,is_suspected_key,sample_values,load_error
Games,Games.csv,gameId,int64,73256,73256,0,0.0,73256,True,42500234 | 42500214 | 42500223 | 42500203 | 42500233,
Games,Games.csv,gameDateTimeEst,object,73256,73256,0,0.0,34899,True,2026-05-10 19:30:00 | 2026-05-10 15:30:00 | 2026-05-09 20:30:00 | 2026-05-09 15:00:00 | 2026-05-08 21:30:00,
Games,Games.csv,hometeamCity,object,73256,73256,7,0.0001,47,False,Minnesota | Philadelphia | Los Angeles | Cleveland | Minnesota,
Games,Games.csv,hometeamName,object,73256,73256,0,0.0,43,False,Timberwolves | 76ers | Lakers | Cavaliers | Timberwolves,
Games,Games.csv,hometeamId,int64,73256,73256,0,0.0,34,False,1610612750 | 1610612755 | 1610612747 | 1610612739 | 1610612750,
Games,Games.csv,awayteamCity,object,73256,73256,7,0.0001,51,False,San Antonio | New York | Oklahoma City | Detroit | San Antonio,
Games,Games.csv,awayteamName,object,73256,73256,0,0.0,47,False,Spurs | Knicks | Thunder | Pistons | Spurs,
Games,Games.csv,awayteamId,int64,73256,73256,0,0.0,38,False,1610612759 | 1610612752 | 1610612760 | 1610612765 | 1610612759,
Games,Games.csv,homeScore,int64,73256,73256,0,0.0,130,False,114 | 114 | 108 | 116 | 108,
Games,Games.csv,awayScore,int64,73256,73256,0,0.0,130,False,109 | 144 | 131 | 109 | 115,
Games,Games.csv,winner,int64,73256,73256,0,0.0,34,False,1610612750 | 1610612752 | 1610612760 | 1610612739 | 1610612759,
Games,Games.csv,gameType,object,73256,73256,0,0.0,8,False,Playoffs | Playoffs | Playoffs | Playoffs | Playoffs,
Games,Games.csv,gameSubtype,object,73256,73256,73182,0.999,3,False,Global Games | Global Games | in-season-knockout | in-season-knockout | in-season-knockout,
Games,Games.csv,gameLabel,object,73256,73256,69236,0.9451,32,False,West Conf. Semifinals | East Conf. Semifinals | West Conf. Semifinals | East Conf. Semifinals | West Conf. Semifinals,
Games,Games.csv,gameSubLabel,object,73256,73256,72951,0.9958,24,False,Game 4 | Game 4 | Game 3 | Game 3 | Game 3,
Games,Games.csv,seriesGameNumber,object,73256,73256,67456,0.9208,15,False,Game 4 | Game 4 | Game 3 | Game 3 | Game 3,
Games,Games.csv,attendance,float64,73256,73256,71887,0.9813,728,False,18978.0 | 19746.0 | 19057.0 | 19432.0 | 18978.0,
Games,Games.csv,arenaId,int64,73256,73256,0,0.0,274,False,61 | 1000152 | 1000069 | 1000144 | 61,
Games,Games.csv,arenaName,object,73256,73256,71879,0.9812,47,False,Target Center | Xfinity Mobile Arena | Crypto.com Arena | Rocket Arena | Target Center,
Games,Games.csv,arenaCity,object,73256,73256,71879,0.9812,47,False,Minneapolis | Philadelphia | Los Angeles | Cleveland | Minneapolis,
Games,Games.csv,arenaState,object,73256,73256,71888,0.9813,28,False,MN | PA | CA | OH | MN,
Games,Games.csv,officials,object,73256,73256,71879,0.9812,1313,False,"Zach Zarba, Eric Dalen, Brent Barnaky, James Williams | Sean Wright, John Goble, Nick Buchert, Andy Nagy | James Capers, Ed Malloy, Curtis Blair | Scott Foster, Pat Fraher, Courtney Kirkland, Tre Maddox | Tony Brothers, Eric Dalen, Tyler Ford, Jacyn Goble",
Games,Games.csv,gameDate,object,73256,73256,0,0.0,34899,True,2026-05-10 19:30:00 | 2026-05-10 15:30:00 | 2026-05-09 20:30:00 | 2026-05-09 15:00:00 | 2026-05-08 21:30:00,
LeagueSchedule24_25,LeagueSchedule24_25.csv,gameId,int64,1408,1408,0,0.0,1408,True,12400001 | 12400002 | 12400003 | 12400004 | 12400005,
LeagueSchedule24_25,LeagueSchedule24_25.csv,gameDateTimeEst,object,1408,1408,0,0.0,914,True,2024-10-04 12:00:00+00:00 | 2024-10-04 21:00:00+00:00 | 2024-10-04 22:30:00+00:00 | 2024-10-05 19:00:00+00:00 | 2024-10-06 10:00:00+00:00,
LeagueSchedule24_25,LeagueSchedule24_25.csv,gameDay,object,1408,1408,0,0.0,7,False,Fri | Fri | Fri | Sat | Sun,
LeagueSchedule24_25,LeagueSchedule24_25.csv,arenaCity,object,1408,1408,0,0.0,45,False,Abu Dhabi | Salt Lake City | Palm Desert | Honolulu | Abu Dhabi,
LeagueSchedule24_25,LeagueSchedule24_25.csv,arenaState,object,1408,1408,8,0.0057,30,False,UT | CA | HI | NC | QC,
