fold,feature_set,model,n_features,train_start,train_end,validation_start,validation_end,train_rows,validation_rows,fit_predict_seconds,mae,rmse,r2,mean_error,median_absolute_error
1,pre_lineup_player_team_opp,hist_gradient_boosting,486,2021-10-19 19:30:00,2022-11-13 21:00:00,2022-11-13 21:30:00,2023-01-26 19:30:00,30304,11241,16.458,7.601743491439664,9.755551383982283,0.5734936191404293,0.3426395467178985,6.221604529453927
1,pre_lineup_compact_40,hist_gradient_boosting,40,2021-10-19 19:30:00,2022-11-13 21:00:00,2022-11-13 21:30:00,2023-01-26 19:30:00,30304,11241,1.198,7.653962417914601,9.800437380318003,0.5695598167476639,0.16671097519640163,6.297964402985114
1,pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,45,2021-10-19 19:30:00,2022-11-13 21:00:00,2022-11-13 21:30:00,2023-01-26 19:30:00,30304,11241,1.267,7.659345927078102,9.801548975977155,0.5694621675192195,0.19982539445938824,6.3173003901287625
1,pre_lineup_compact_40,ridge,40,2021-10-19 19:30:00,2022-11-13 21:00:00,2022-11-13 21:30:00,2023-01-26 19:30:00,30304,11241,0.245,7.672422399783166,9.798264254297859,0.569750685179196,-0.004710879570660994,6.323234482290928
1,pre_lineup_compact_40_plus_scoring,ridge,45,2021-10-19 19:30:00,2022-11-13 21:00:00,2022-11-13 21:30:00,2023-01-26 19:30:00,30304,11241,0.284,7.673603419641286,9.797882675384079,0.5697841953734886,-0.019680832777719117,6.3404532572681305
4,pre_lineup_player_team_opp,hist_gradient_boosting,486,2021-10-19 19:30:00,2024-01-25 19:00:00,2024-01-25 19:30:00,2024-04-14 15:30:00,64680,12257,38.634,7.693026550756935,9.903920371627368,0.5821179559819798,0.4699800403540845,6.220530684200452
3,pre_lineup_player_team_opp,hist_gradient_boosting,486,2021-10-19 19:30:00,2023-10-30 19:30:00,2023-10-30 20:00:00,2024-01-25 19:00:00,52920,11760,34.192,7.710269750375663,9.771133488502631,0.5892469722303841,-0.2352900938168483,6.418731666229899
4,pre_lineup_player_team_opp,ridge,486,2021-10-19 19:30:00,2024-01-25 19:00:00,2024-01-25 19:30:00,2024-04-14 15:30:00,64680,12257,20.938,7.725414314840116,9.961042780390775,0.5772836547659034,0.45679263878194276,6.253587135909417
1,pre_lineup_baseline,ridge,4,2021-10-19 19:30:00,2022-11-13 21:00:00,2022-11-13 21:30:00,2023-01-26 19:30:00,30304,11241,0.022,7.735109829443159,9.848011813616154,0.5653706871774034,-0.1418182490393063,6.447717958626717
3,pre_lineup_player_team_opp,ridge,486,2021-10-19 19:30:00,2023-10-30 19:30:00,2023-10-30 20:00:00,2024-01-25 19:00:00,52920,11760,16.824,7.73558179916988,9.828959284334267,0.5843708944342498,-0.21727874804796912,6.425291180068781
1,pre_lineup_baseline,rolling_fp_10_baseline,4,2021-10-19 19:30:00,2022-11-13 21:00:00,2022-11-13 21:30:00,2023-01-26 19:30:00,30304,11241,0.001,7.739093878649066,9.982114877258423,0.5534531619519047,0.043002654369984794,6.270000000000003
1,pre_lineup_compact_40,rolling_fp_10_baseline,40,2021-10-19 19:30:00,2022-11-13 21:00:00,2022-11-13 21:30:00,2023-01-26 19:30:00,30304,11241,0.0,7.739093878649066,9.982114877258423,0.5534531619519047,0.043002654369984794,6.270000000000003
1,pre_lineup_compact_40_plus_scoring,rolling_fp_10_baseline,45,2021-10-19 19:30:00,2022-11-13 21:00:00,2022-11-13 21:30:00,2023-01-26 19:30:00,30304,11241,0.0,7.739093878649066,9.982114877258423,0.5534531619519047,0.043002654369984794,6.270000000000003
1,pre_lineup_player_team_opp,rolling_fp_10_baseline,486,2021-10-19 19:30:00,2022-11-13 21:00:00,2022-11-13 21:30:00,2023-01-26 19:30:00,30304,11241,0.0,7.739093878649066,9.982114877258423,0.5534531619519047,0.043002654369984794,6.270000000000003
3,pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,45,2021-10-19 19:30:00,2023-10-30 19:30:00,2023-10-30 20:00:00,2024-01-25 19:00:00,52920,11760,2.278,7.7503777088629375,9.79884895340571,0.5869134954461639,-0.4109035486643908,6.49517429941825
3,pre_lineup_compact_40,hist_gradient_boosting,40,2021-10-19 19:30:00,2023-10-30 19:30:00,2023-10-30 20:00:00,2024-01-25 19:00:00,52920,11760,2.086,7.750991791401431,9.80945539537903,0.5860187476445227,-0.3864523372641907,6.500543403317804
4,pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,45,2021-10-19 19:30:00,2024-01-25 19:00:00,2024-01-25 19:30:00,2024-04-14 15:30:00,64680,12257,2.494,7.75100649504796,9.955055100723436,0.5777916998350334,0.5017810833351278,6.281214201319661
4,pre_lineup_compact_40,hist_gradient_boosting,40,2021-10-19 19:30:00,2024-01-25 19:00:00,2024-01-25 19:30:00,2024-04-14 15:30:00,64680,12257,2.258,7.7529540363599745,9.954010680536205,0.5778802859324397,0.48433438989254757,6.294971387491858
4,pre_lineup_compact_40_plus_scoring,ridge,45,2021-10-19 19:30:00,2024-01-25 19:00:00,2024-01-25 19:30:00,2024-04-14 15:30:00,64680,12257,0.583,7.760197654644859,9.970663283543987,0.5764667306990718,0.32694797657749136,6.273375793362959
4,pre_lineup_compact_40,ridge,40,2021-10-19 19:30:00,2024-01-25 19:00:00,2024-01-25 19:30:00,2024-04-14 15:30:00,64680,12257,0.491,7.761144360412693,9.970462293179585,0.5764838058415612,0.3306089232258873,6.280852888107917
1,pre_lineup_baseline,hist_gradient_boosting,4,2021-10-19 19:30:00,2022-11-13 21:00:00,2022-11-13 21:30:00,2023-01-26 19:30:00,30304,11241,0.291,7.7662174855414206,9.876939207628606,0.5628135905705063,-0.11633448529573061,6.510164779932417
