feature_set,model,n_features,folds,mean_mae,std_mae,min_mae,max_mae,mean_rmse,mean_r2,total_fit_predict_seconds,mae_range
pre_lineup_player_team_opp,hist_gradient_boosting,486,4,7.706301386918741,0.0896091829977924,7.601743491439664,7.820165755102704,9.865727523946479,0.5715948834080068,118.55,0.21842226366304018
pre_lineup_compact_40_plus_scoring,hist_gradient_boosting,45,4,7.754678658714679,0.08122481213707809,7.659345927078102,7.8579845038697185,9.912695984559562,0.5674774097083795,8.012,0.19863857679161612
pre_lineup_compact_40,hist_gradient_boosting,40,4,7.754969294168964,0.08499253521125227,7.653962417914601,7.861968930999848,9.91867637090793,0.5669442709569386,7.538,0.2080065130852473
pre_lineup_compact_40,ridge,40,4,7.7775110049220775,0.09229395367494075,7.672422399783166,7.896836201533598,9.926930163499692,0.5662528687459765,1.466,0.22441380175043246
pre_lineup_compact_40_plus_scoring,ridge,45,4,7.777713622099775,0.09276656565870024,7.673603419641286,7.898837158624171,9.92658207390615,0.5662807759851656,1.724,0.2252337389828849
pre_lineup_baseline,ridge,4,4,7.8743591023990565,0.11999561100423331,7.735109829443159,8.028297697864243,10.034975011942088,0.5567297219657756,0.137,0.293187868421084
pre_lineup_baseline,hist_gradient_boosting,4,4,7.902683792680546,0.11046745037893109,7.7662174855414206,8.035915981718563,10.048228802613663,0.5556029868664762,1.7389999999999999,0.2696984961771429
pre_lineup_baseline,rolling_fp_10_baseline,4,4,7.93030392313876,0.1671249446558784,7.739093878649066,8.146254540365561,10.204214318789568,0.541567023465227,0.003,0.4071606617164951
pre_lineup_compact_40,rolling_fp_10_baseline,40,4,7.93030392313876,0.1671249446558784,7.739093878649066,8.146254540365561,10.204214318789568,0.541567023465227,0.001,0.4071606617164951
pre_lineup_compact_40_plus_scoring,rolling_fp_10_baseline,45,4,7.93030392313876,0.1671249446558784,7.739093878649066,8.146254540365561,10.204214318789568,0.541567023465227,0.0,0.4071606617164951
pre_lineup_player_team_opp,rolling_fp_10_baseline,486,4,7.93030392313876,0.1671249446558784,7.739093878649066,8.146254540365561,10.204214318789568,0.541567023465227,0.001,0.4071606617164951
pre_lineup_player_team_opp,ridge,486,4,8.10153991263186,0.6314509347685965,7.725414314840116,9.040671077119356,10.365056651908395,0.5244994660158049,60.551,1.3152567622792395
